date,t,ticker,trade_grade,news_type,size,bp,npl,atr_pct,atr_pct_move,avg_daily_vol,breakout_duration,breakout_open_close_pct,breakout_open_high_pct,breakout_open_post_high_pct,breakout_open_to_day_after_open_pct,breaks_ath,breaks_fifty_two_wk,close_at_highs,gap_pct,move_together,pct_change_120,pct_change_15,pct_change_3,pct_change_30,pct_change_90,percent_of_premarket_vol,percent_of_vol_in_first_10_min,percent_of_vol_in_first_15_min,percent_of_vol_in_first_30_min,percent_of_vol_in_first_5_min,percent_of_vol_on_breakout_day,premarket_vol,spy_open_close_pct,time_of_breakout,time_of_high,vol_in_first_10_min,vol_in_first_15_min,vol_in_first_30_min,vol_in_first_5_min,vol_on_breakout_day,vol_one_day_before,vol_three_day_before,vol_two_day_before
2/9/2024,1,SOXL,B,pos_news,12000,462360,11976,0.063486671,0.60742084,70563244.45,0 days 04:38:00,0.038563127,0.04437401,0.041732699,0.040940306,TRUE,TRUE,TRUE,0.019111709,FALSE,0.830754352,0.019935345,0.119125037,0.343982961,0.891108891,0.0805103,0.060521962,0.078621569,0.136319979,0.039466581,,5681068,0.004730976,2024-02-09 10:09:00-05:00,2024-02-09 14:47:00-05:00,4270626,5547793,9619180,2784890,65548189,,,
2/8/2024,0,ARM,A,earnings,727,85059,12645.19,0.046453493,4.44173436,11748862,0 days 00:36:00,0.206334075,0.340800763,0.236627476,0.122656498,TRUE,TRUE,FALSE,0.225944683,FALSE,0.726591075,0.246501188,0.288521905,0.313439065,0.806198584,0.545401674,1.164961594,1.414931676,2.200905671,0.755014656,,6407849,0.000441678,2024-02-08 09:31:00-05:00,2024-02-08 10:07:00-05:00,13686973,16623837,25858137,8870563,106036189,,,
2/7/2024,1,NVDA,C,upgrade,1000,685818.94,5150,0.031511933,0.826805683,49739445.36,0 days 05:59:00,0.026054246,0.027825349,0.038817898,0.025688315,TRUE,TRUE,TRUE,0.00140715,FALSE,0.491746364,0.141065255,-0.014610858,0.3074656,0.45514377,0.033871809,0.070843814,0.092258508,0.166044855,0.047983708,0.939899483,1684765,0.003647061,2024-02-07 09:48:00-05:00,2024-02-07 17:23:00-05:00,3523732,4588887,8258979,2386683,46750079,,,
2/6/2024,0,PLTR,A,earnings,10000,202300,14169,0.039587265,1.953656118,65771720.24,0 days 05:30:00,0.077339901,0.092610837,0.088669951,0.064039409,FALSE,TRUE,TRUE,0.214114833,FALSE,0.152754117,0.153409091,0.214114833,0.217756449,0.097890752,0.477247211,0.873636444,1.203040358,1.806785737,0.523306304,6.360293398,27568316,0.00093208,2024-02-06 09:38:00-05:00,2024-02-06 15:08:00-05:00,50465882,69494017,104369585,30228936,418327438,,,
2/2/2024,1,NVDA,B,upgrade,,,,0.028753623,1.188376567,46053943.95,0 days 03:05:00,0.034170132,0.041047926,0.03931269,0.06644887,TRUE,TRUE,TRUE,0.015025307,TRUE,0.431569996,0.120247956,0.019116195,0.344867456,0.398308234,0.037684134,0.08046794,0.111440597,0.190969225,0.045911356,0.995535519,1735503,0.009598693,2024-02-02 09:37:00-05:00,2024-02-02 12:42:00-05:00,3705866,5132279,8794886,2114399,45848337,,,
1/31/2024,1,PLUG,B,upgrade,,,,0.100194971,0.85199739,55723432.95,0 days 03:53:00,0.085365854,0.180487805,0.124390244,0.214634146,FALSE,FALSE,FALSE,0.09919571,FALSE,-0.372128637,0.348684211,0.081794195,-0.106753813,-0.346092504,0.127897576,0.115226892,0.158754864,0.294120016,0.072367185,2.273786131,7126892,-0.01174737,2024-01-31 09:41:00-05:00,2024-01-31 13:34:00-05:00,6420838,8846366,16389377,4032548,126703169,,,
1/24/2024,1,AMD,B,upgrade,,,,0.039440582,0.843438877,79951697.35,0 days 03:27:00,0.03326572,0.046537236,0.041205448,0.062938279,TRUE,TRUE,TRUE,0.024522028,FALSE,0.79814506,0.156036446,0.025984065,0.203193641,0.842105263,0.030972125,0.077020041,0.103300384,0.241184723,0.053074921,1.538643945,2476274,-0.004960948,2024-01-24 09:30:00-05:00,2024-01-24 12:57:00-05:00,6157883,8259041,19283128,4243430,123017195,,,
1/22/2024,0,DWAC,B,pos_news,,,,0.056869648,12.39963785,3809620.833,0 days 06:25:00,0.694169792,0.711558132,0.749062393,0.687009887,FALSE,TRUE,TRUE,0.111827142,FALSE,0.77973301,0.701276102,0.111827142,0.614199229,0.983096687,0.172108204,0.396961027,0.460306702,0.591253329,0.265618823,7.775823185,655667,-0.001157001,2024-01-22 09:31:00-05:00,2024-01-22 17:24:00-05:00,1512271,1753594,2252451,1011907,29622938,,,
1/22/2024,1,RUM,A,partnership,,,,0.065288866,3.314775162,3004390.333,0 days 05:53:00,0.21641791,0.236318408,0.519900498,0.487562189,FALSE,FALSE,TRUE,0.119777159,FALSE,-0.144680851,-0.069444444,0.119777159,-0.196,-0.202380952,0.347598975,0.351088202,0.462598346,1.098294041,0.204656164,7.830514145,1044323,-0.001157001,2024-01-22 09:51:00-05:00,2024-01-22 19:12:00-05:00,1054806,1389826,3299704,614867,23525921,,,
1/19/2024,0,SMCI,A,earnings_prelim,,,,0.056591555,3.853787725,4229493.15,0 days 05:17:00,0.21809184,0.233427322,0.234319254,0.313010703,TRUE,TRUE,TRUE,0.115977395,TRUE,0.501079727,0.203462604,0.065122123,0.150556144,0.363568598,0.192570356,0.612106205,0.767185543,1.276414882,0.384593128,5.431355291,814475,0.010007328,2024-01-19 09:34:00-05:00,2024-01-19 16:24:00-05:00,2588899,3244806,5398588,1626634,22971880,,,
