date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?
8/9/2021,MARA,Medium,3DGapFade,5,A+,GO,0.1627,1.48,2.22,3,0.0575,0.1925,0.5324,0.215,0.25,34.25,0.0759,,
1/8/2021,TLRY,Medium,3DGapFade,5,A+,GO,0.1826,2.01,2.07,4,0.0031,0.1924,0.2154,0.4483,0.4107,113.4,0.0741,,
5/28/2021,BYND,Medium,3DGapFade,5,A+,GO,0.1876,1.82,4.39,4,0.0517,0.1918,0.288,0.0386,0.1346,142.61,0.051,N,
1/13/2021,BLDP,Medium,3DGapFade,5,A+,GO,0.2505,1.7,2.8,6,0.0739,0.1914,0.6527,0.6736,0.6962,34.36,0.0603,N,
6/9/2021,SFIX,Medium,3DGapFade,5,A+,GO,0.17,1.97,4.21,2,0.0053,0.1906,0.4741,0.4301,0.3891,66.1,0.0514,,
11/3/2021,ON,Medium,3DGapFade,5,A+,GO,0.1504,1.04,1.87,4,0.0041,0.1887,0.3637,0.1757,0.2349,57.14,0.0333,,
11/9/2021,COTY,Medium,3DGapFade,5,A+,GO,0.1691,1.72,3.76,2,0.0122,0.1878,0.4311,0.3313,0.2716,10.69,0.0392,,
1/26/2021,EH,Medium,3DGapFade,5,A+,GO,0.4134,2.1,1.9,5,0.0458,0.1876,3.2152,3.5263,2.5112,89.53,0.1126,,
2/11/2021,PACB,Medium,3DGapFade,5,A+,GO,0.198,1.78,2.75,5,0.1111,0.1876,0.2641,0.8085,0.5726,45.9,0.0792,,
2/18/2021,ACIC,Medium,3DGapFade,5,A+,GO,0.2036,1.31,3.71,2,0.0199,0.1873,0.5707,0.5846,,16.1,0.0632,N,
6/4/2021,FSR,Medium,3DGapFade,5,A+,GO,0.1581,1.75,1.59,3,0.0013,0.1873,0.599,0.1546,0.1573,15.91,0.0677,,
2/16/2021,HUBS,Medium,3DGapFade,5,A+,GO,0.1668,1.35,3.24,10,0.0035,0.1864,0.3075,0.2673,0.2679,502.4,0.0452,,
2/17/2021,QFIN,Medium,3DGapFade,5,A+,GO,0.254,1.36,1.84,6,0.01,0.1847,0.9266,1.5795,1.0573,30.98,0.0659,,
5/26/2021,GME,Medium,3DGapFade,5,A+,GO,0.1707,2.24,2.88,4,0.0934,0.1846,0.3132,0.2576,0.2225,52.36,0.0769,,
1/8/2021,ORA,Medium,3DGapFade,5,A+,GO,0.1656,2.3,2.33,5,0.0042,0.1828,0.3916,0.5197,0.4061,112.37,0.0443,,
7/1/2021,BEAM,Medium,3DGapFade,5,A+,GO,0.2519,3.49,3.98,3,0.0058,0.1825,0.4641,0.8241,0.5873,128.71,0.0576,N,
1/25/2021,AMC,Medium,3DGapFade,5,A+,GO,0.2608,2.85,3.69,2,0.3419,0.1818,0.6557,-0.0907,0.1491,35.1,0.093,N,
1/7/2021,LAC,Medium,3DGapFade,5,A+,GO,0.2062,2.15,2,5,0.0557,0.1818,0.6468,0.5375,0.4774,15.99,0.0755,,
1/13/2021,NGA,Medium,3DGapFade,5,A+,GO,0.204,2.82,2.29,2,0.063,0.1818,0.8176,0.95,0.869,27.3,0.0978,,
2/24/2021,MRO,Medium,3DGapFade,5,A+,GO,0.1559,2.55,1.75,3,0.0072,0.181,0.5122,0.4607,0.4205,11.16,0.058,,
10/19/2021,MARA,Medium,3DGapFade,5,A+,GO,0.1709,1.61,2.2,2,0.0029,0.1803,0.571,0.3062,0.3812,51.45,0.0623,,
8/26/2021,DVAX,Medium,3DGapFade,5,A+,GO,0.2035,1.87,2.9,4,0.0105,0.1794,0.5721,0.7203,0.5702,16.24,0.0668,,
1/20/2021,IPOE,Medium,3DGapFade,5,A+,GO,0.2062,1.66,2.38,4,0.0562,0.179,0.7844,1.17,,22.59,0.0845,,
6/9/2021,SENS,Medium,3DGapFade,5,A+,GO,0.3281,2.35,2.29,3,0.0058,0.1787,0.6028,0.6333,0.5795,68.6,0.0746,,
6/15/2021,MSTR,Medium,3DGapFade,5,A+,GO,0.16,2,2.04,2,0.0059,0.1766,0.2668,-0.0584,0.0229,59.85,0.0516,,
1/20/2021,MAXR,Medium,3DGapFade,5,A+,GO,0.2348,1.89,2.33,3,0.0108,0.175,0.5672,0.7879,0.6709,54.71,0.0629,,
4/6/2021,ASO,Medium,3DGapFade,5,A+,GO,0.163,1.8,2.93,4,0.0442,0.1745,0.2417,0.2933,0.2803,31.7,0.0615,N,
2/11/2021,VFF,Medium,3DGapFade,5,A+,GO,0.2276,2.59,1.81,8,0.0129,0.1732,0.4981,0.9331,0.6212,19.37,0.0662,,
8/27/2021,AUPH,Medium,3DGapFade,5,A+,GO,0.1743,2.21,2.06,5,0.0106,0.1719,0.2434,0.5938,0.3524,17.93,0.0702,N,
11/11/2021,PUBM,Medium,3DGapFade,5,A+,GO,0.1546,2.86,7.52,3,0.0505,0.1716,0.1863,0.3294,0.2622,35.03,0.0796,,
10/13/2021,SOFI,Large,3DGapFade,5,A+,GO,0.1034,1.22,1.52,2,0.0016,0.1703,0.1265,0.3378,0.2091,18.97,0.051,,
1/26/2021,UNFI,Medium,3DGapFade,5,A+,GO,0.2094,3.48,3.11,9,0.0025,0.1703,0.6653,0.6526,0.5762,28.11,0.0694,,
1/5/2021,FLGT,Medium,3DGapFade,5,A+,GO,0.1629,1.47,1.96,2,0.0093,0.1689,0.1891,0.4234,0.3963,59.3,0.0801,,
9/22/2021,LCID,Medium,3DGapFade,5,A+,GO,0.1964,1.95,2.99,5,0.0345,0.1677,0.3432,0.0961,,268.1,0.0644,,
11/2/2021,ON,Medium,3DGapFade,5,A+,GO,0.1504,2.34,4.13,3,0.018,0.1675,0.2985,0.1533,0.196,54.99,0.033,,
1/11/2021,NIO,Large,3DGapFade,5,A+,GO,0.1306,0.93,1.63,2,0.1023,0.1667,0.2809,0.0974,0.2934,58.92,0.0626,,
1/29/2021,AAL,Large,3DGapFade,5,A+,GO,0.1093,4.69,4.44,3,0.0326,0.1655,0.1769,0.0641,0.1609,18.1,0.0583,N,
6/3/2021,SNDL,Medium,3DGapFade,5,A+,GO,0.2386,1.56,1.62,3,0.2168,0.1649,0.6076,0.3003,0.2528,11.3,0.0735,,
2/8/2021,HOL,Medium,3DGapFade,5,A+,GO,0.3027,1.04,1.87,5,0.0315,0.1648,0.8625,0.9121,0.8008,19.37,0.0598,,
2/11/2021,TWTR,Medium,3DGapFade,5,A+,GO,0.1705,1.98,3.28,8,0.0032,0.1644,0.4382,0.2467,0.3127,67.77,0.0452,,
5/4/2021,BNTX,Medium,3DGapFade,5,A+,GO,0.1693,1.36,1.9,4,0.0172,0.1628,0.6114,0.9523,0.6918,208.9,0.0551,Y,
4/28/2021,CROX,Medium,3DGapFade,5,A+,GO,0.1595,2.19,6.55,5,0.0115,0.1624,0.1969,0.1988,0.2276,97.82,0.0414,,
