date,ticker,cap,setup_type,score,grade,recommendation,readiness_passed,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_3_with_gap,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,fade_day_return,fade_day_close_position,in_reversal_csv
2024-02-01,ESTA,Small,generic,0,F,NO-GO,True,0.048737249970037075,1.0858168451176793,1.214100066447357,1,0.0018181818181818256,0.005484460694698377,0.007312614259597836,0.2152777777777778,0.6746411483253589,0.3689570325278414,38.5,0.06016178107606679,-0.014259787399533243,0.5995203836930474,False
2024-02-01,FUSN,Small,generic,0,F,NO-GO,True,0.0884326729325419,1.4369742266313632,1.5345870290527623,1,0.044750430292599085,0.010434782608695584,0.05565217391304353,0.2589382448537377,1.1204379562043794,0.5679183926812482,11.62,0.07336365871649866,-0.08401976935749599,0.24827586206896493,False
2024-02-01,TNK,Small,generic,0,F,NO-GO,True,0.0434668870679234,0.6139551450539212,1.3969457938804986,2,0.0020783373301359325,0.054628224582700974,0.056820097791266184,0.1648044692737429,0.23616600790513825,0.17927196217280156,62.55,0.03718990521868218,-0.03142948308870451,0.4722617354196301,False
2024-02-01,DYN,Medium,generic,0,F,NO-GO,True,0.10314800199729228,0.8811354228267312,0.28460949345108766,2,0.0023364485981308743,0.023923444976076555,0.026315789473684247,0.23414071510957316,0.7937971500419111,0.5124957593576838,21.4,0.07901869158878502,0.02843822843822841,0.628930817610063,False
2024-02-01,VERA,Medium,generic,2,C,NO-GO,True,0.31400020282135693,1.152136512536935,1.0129419111882145,5,0.002196595277320107,0.08263971462544593,0.08501783590963137,0.8978634705575821,1.3286445012787724,1.1530421622644191,36.42,0.0867523731073978,0.0410958904109589,0.5718475073313786,False
2024-02-01,GM,Medium,generic,2,C,NO-GO,True,0.06519516687880285,1.4963679428899421,1.6897224696815558,5,0.009793814432989757,0.0963549025148346,0.10709239898276347,0.06857614982098581,0.0948081264108352,0.13593779276747214,38.8,0.027902614138438857,-0.007912200102092962,0.4358974358974305,False
2024-02-01,SANM,Small,generic,1,F,NO-GO,True,0.08938272827982535,1.8558584288250846,2.3840858935400755,0,0.018054162487462357,0.1815129369938771,0.20284416353940343,0.19496604075109863,0.1503846153846154,0.16957463614537,59.82,0.04431735683240196,-0.014285714285714244,0.2247706422018358,False
2024-02-01,RILY,Small,generic,1,F,NO-GO,True,0.04351254580903416,2.671022541653055,1.9436280203384686,0,0.0021349274124678546,-0.033828382838283697,-0.03176567656765675,0.009482758620689759,0.09133271202236723,0.07776274493561963,23.42,0.09335732585092105,-0.06689390711546657,0.1531728665207868,False
2024-02-01,CLF,Medium,generic,2,C,NO-GO,True,0.05423496402386959,1.1477800308036703,1.8529294143501562,0,0.006483790523690723,0.06140815246161991,0.06829010058231864,0.07853684776761705,-0.021951219512195086,0.07919864790673155,20.05,0.03215140719629493,0.008919722497522285,0.6628571428571409,False
2024-02-01,EYPT,Small,generic,0,F,NO-GO,True,0.06601598939079041,1.2947806504731365,0.9739061522664475,1,0.00519866320089122,0.008236615499812762,0.013478098090602748,0.3311913000494315,0.4211081794195251,0.4344917222423455,26.93,0.07055089915654343,0.05319541928333954,0.7902066687497217,False
2024-02-01,PCVX,Medium,generic,2,C,NO-GO,True,0.08060784428724585,2.0661238337574215,4.397710129959059,1,0.003780453654438477,0.0426277372262774,0.046569343065693394,0.15903927296332368,0.18342999171499585,0.20648821047154717,71.42,0.04126995239428732,0.05356395592132799,0.9273153575615469,False
2024-02-01,TARS,Small,generic,0,F,NO-GO,True,0.044340366370480215,0.8707362707403834,0.4132352955169216,0,0.004405286343612372,-0.02644746247319521,-0.022158684774839205,0.2916073968705547,0.435194942044257,0.33995769590240554,27.24,0.0510142647367317,0.05701754385964921,0.7054263565891479,False
