date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?,notes
12/10/2021,ISIG,Medium,3DGapFade,5,A+,GO,0.836668727,4.886155457,3.201370502,2,0.159574468,1.263969171,3.644268775,2.263888889,2.19460848,23.5,0.162595745,N,RightSidePopFade,
1/7/2021,NCTY,Medium,3DGapFade,5,A+,GO,1.163708242,4.235924675,6.820441058,5,0.457353929,1.249244713,4.242957746,2.67654321,3.522811494,148.9,0.09988439,Y,,
6/28/2021,MRIN,Medium,3DGapFade,5,A+,GO,0.605604645,4.305627671,4.997051255,4,0.419947507,1.228070175,1.309090909,1.70212766,1.290764791,22.86,0.093877015,N,,
2/10/2021,KALV,Medium,3DGapFade,5,A+,GO,0.761508848,5.664524347,18.45887109,3,0.10119403,1.202498356,1.062807882,0.996424315,0.906897847,33.5,0.0920629,N,,
1/26/2021,AMTX,Small,3DGapFade,3,B,CAUTION,0.841746952,5.049396268,12.5888545,3,0.056818182,1.183622829,2.098591549,2.859649123,2.11052985,8.8,0.093170455,N,2DGapFade,
6/29/2021,MRIN,Medium,3DGapFade,5,A+,GO,1.206953204,4.139658391,10.15876279,5,0.244,1.136752137,3.746835443,3.966887417,3.206865605,45.0,0.082132381,N,,
11/5/2021,FATBB,Small,3DGapFade,4,A,GO,0.568322752,5.297422147,6.73723056,5,0.772727273,1.129032258,1.244867417,0.896551724,,16.5,0.145629437,Y,,
11/26/2021,BFRI,Medium,3DGapFade,5,A+,GO,0.582199701,3.800509647,16.69630507,2,0.379310345,1.113445888,0.466292135,,,104.4,0.131561303,N,,
7/6/2021,BLIN,Small,3DGapFade,4,A,GO,0.951570755,2.963733906,7.901090653,6,0.555183946,1.086046512,2.203571429,2.50390625,2.204944976,8.97,0.111323459,Y,,
1/4/2021,BTBT,Medium,3DGapFade,5,A+,GO,0.876885939,4.30783051,6.870601091,4,0.172980374,1.074810606,2.701013514,2.884751773,2.597051436,21.91,0.111776749,Y,,
7/7/2021,SQBG,Small,3DGapFade,1,F,NO-GO,0.480594146,4.183330176,5.837516376,2,0.116018846,1.045783133,0.951724138,1.297699594,0.45741065,16.98,0.157673313,Y,,
10/1/2021,PALT,Medium,3DGapFade,5,A+,GO,0.751160536,2.944629541,7.286781107,2,0.178807947,1.017175573,2.02,2.04610951,,10.57,0.149077578,N,,
4/27/2021,MVIS,Medium,3DGapFade,5,A+,GO,0.649961685,3.197843513,6.97146081,4,0.045007564,1.01217656,0.725848564,0.483309958,0.703827813,26.44,0.095208829,Y,,
11/30/2021,ISPC,Medium,3DGapFade,5,A+,GO,0.698727972,4.035464926,4.051469038,2,0.118021548,1.001960784,2.538994801,1.994134897,1.944583855,408.4,0.194285015,N,,
2/26/2021,CDXC,Medium,3DGapFade,5,A+,GO,0.831429163,7.757939002,17.55873694,2,0.085912487,0.964360587,2.770623742,3.082788671,2.275479349,18.74,0.093992606,N,,
3/11/2021,AVEO,Small,3DGapFade,2,F,NO-GO,0.586004688,6.945455027,17.11540453,2,0.164921466,0.934177215,0.746285714,0.961489089,0.881703878,15.28,0.070670344,N,2DGapFade,
1/26/2021,OEG,Small,3DGapFade,2,F,NO-GO,0.63664374,3.141476274,3.748547969,3,0.13836478,0.924939467,2.714953271,5.794871795,2.765734375,7.95,0.114515723,Y,,
1/27/2021,PBI,Medium,3DGapFade,5,A+,GO,0.605127072,7.1198796,8.357381236,3,0.044754219,0.895688456,0.995607613,1.358131488,1.150384955,13.63,0.073471858,Y,,
7/6/2021,MRIN,Medium,3DGapFade,5,A+,GO,0.843251112,2.02883674,1.89151894,2,0.338590439,0.890959925,11.2969697,12.09032258,5.92775198,121.74,0.163245089,Y,,
8/30/2021,SPRT,Medium,3DGapFade,5,A+,GO,0.756930939,6.885489521,5.380414309,7,0.397265477,0.886103152,2.388674389,4.997722096,2.832493959,26.33,0.184009549,N,,
2/8/2021,OCGN,Small,3DGapFade,2,F,NO-GO,0.71724703,4.497409326,5.477850038,2,0.767619048,0.868327402,1.364864865,1.019230769,2.309204505,5.25,0.118163265,N,IntradayCapitch,
2/10/2021,OGI,Medium,3DGapFade,5,A+,GO,0.59547888,4.031152306,4.957277572,2,0.350114416,0.867521368,1.427777778,2.121428571,1.578779653,17.48,0.089406669,N,,
2/22/2021,VIOT,Small,3DGapFade,2,F,NO-GO,0.535056613,4.220690084,13.19811548,2,0.184508816,0.823191734,1.122994652,1.876811594,1.322316467,15.88,0.086833843,Y,,
1/28/2021,JAN,Small,3DGapFade,2,F,NO-GO,0.495165321,6.799752237,3.658850153,2,1.342436975,0.820267686,0.995807128,1.26128266,1.014784113,9.52,0.092060324,Y,,
2/11/2021,OGI,Medium,3DGapFade,5,A+,GO,0.769289565,3.010958904,4.506214834,3,0.075,0.818181818,2.448275862,3.411764706,2.355704698,24.0,0.086904762,Y,,
8/13/2021,ACY,Small,3DGapFade,2,F,NO-GO,0.378036418,2.078224196,8.880620394,2,0.045068583,0.793790275,1.520164609,1.996086106,1.332490326,30.62,0.172074508,N,,
3/10/2021,GME,Large,3DGapFade,4,A,GO,0.625545503,1.207334627,1.019433073,5,0.091251519,0.792507623,4.374401393,0.668468712,2.051697159,61.725,0.13868252,Y,,
1/26/2021,GME,Large,3DGapFade,5,A+,GO,0.62078547,6.80643485,3.890945693,3,0.153275166,0.784568905,3.451594203,4.438385269,2.717275966,19.1975,0.187595855,N,,
1/26/2021,ATOS,Medium,3DGapFade,5,A+,GO,0.706315095,3.515357496,4.313664304,5,0.127516779,0.784431138,2.136842105,2.373712216,1.34197559,44.7,0.094503835,N,2DGapFade,
1/7/2021,PECK,Small,3DGapFade,1,F,NO-GO,0.400566262,1.737155577,1.436584983,3,0.060329068,0.778861789,0.778861789,0.508965517,0.644099127,10.94,0.086821624,N,,
2/10/2021,GSAT,Medium,3DGapFade,5,A+,GO,0.590340655,5.081850534,4.234841918,5,0.399038462,0.777777778,0.518248175,4.621621622,2.132058425,31.2,0.096497253,N,,
2/11/2021,ITRM,Medium,3DGapFade,5,A+,GO,0.487823559,2.094017094,3.503021405,4,0.076923077,0.772727273,0.4,1.838427948,1.275398195,40.95,0.12244898,N,,
2/10/2021,VERU,Medium,3DGapFade,5,A+,GO,0.508135086,4.356636907,6.476906115,2,0.161909704,0.768701239,1.157894737,1.126931567,1.289387081,192.7,0.118162206,Y,,
2/16/2021,CCNC,Small,3DGapFade,2,F,NO-GO,0.612902673,4.640899424,12.57669959,2,0.092503704,0.764705882,2.325123153,2.479381443,1.974448824,6.75,0.105982011,N,,
2/8/2021,BSQR,Small,3DGapFade,3,B,CAUTION,0.563635263,10.08460079,19.43328806,5,0.335423197,0.762430939,0.696808511,1.472868217,1.048417132,3.19,0.192416032,N,,
1/14/2021,POWW,Small,3DGapFade,3,B,CAUTION,0.532315588,4.871453901,10.38635979,3,0.06456044,0.745803357,1.022222222,2.165217391,,7.28,0.088540031,Y,,
2/2/2021,VXRT,Medium,3DGapFade,5,A+,GO,0.501236279,1.776426032,2.885039708,2,0.098265896,0.745515695,1.475357711,1.048684211,1.096320332,15.57,0.094725204,N,,
7/1/2021,BLIN,Small,3DGapFade,3,B,CAUTION,0.462042976,7.01521863,18.84079637,4,0.427906977,0.733870968,0.519434629,0.673151751,0.649531993,4.3,0.142878738,N,,
2/17/2021,CCNC,Small,3DGapFade,2,F,NO-GO,0.687771678,2.177852432,1.189040391,3,0.06109027,0.716297787,3.023584906,2.808035714,2.540700204,8.53,0.101199967,,,
7/2/2021,BLIN,Small,3DGapFade,3,B,CAUTION,0.64151016,2.637867647,7.280278749,5,0.062608696,0.696165192,1.121771218,1.194656489,1.15323547,5.75,0.13515528,,,
2/17/2021,MFH,Small,3DGapFade,2,F,NO-GO,0.511232079,2.448154657,1.955365323,3,0.083333333,0.693548387,1.485207101,1.51497006,1.281994789,8.4,0.096768707,,,
8/27/2021,SPRT,Medium,3DGapFade,5,A+,GO,0.621339084,2.743902439,4.631053604,6,0.96142132,0.688089117,1.762973352,3.937343358,2.065956983,19.7,0.104893401,N,IntradayCapitch,
2/1/2021,NVAX,Medium,3DGapFade,5,A+,GO,0.501115611,4.099511609,7.065122274,3,0.097673577,0.684250648,0.813138566,0.827763071,0.814712692,220.94,0.070107948,N,,
6/7/2021,LEDS,Medium,3DGapFade,5,A+,GO,0.528139661,3.00153483,3.541399895,2,0.27577561,0.673469388,1.446300716,4.631868132,2.094059406,20.5,0.173894774,Y,,
1/14/2021,ENG,Small,3DGapFade,1,F,NO-GO,0.48773227,2.80054204,3.032805651,2,0.051034483,0.670506912,2.940217391,3.36746988,2.350552864,58.0,0.152679803,,,
1/25/2021,GME,Large,3DGapFade,5,A+,GO,0.62422152,4.566541134,5.128710599,2,0.487924935,0.661809816,2.450636943,3.759150805,2.360766757,16.2525,0.116000615,Y,,
2/10/2021,TLRY,Medium,3DGapFade,5,A+,GO,0.525460407,2.861927733,2.883666027,2,0.554427391,0.646578538,1.253858435,4.059737157,2.053242493,423.5,0.092654748,Y,,
1/8/2021,MARA,Medium,3DGapFade,5,A+,GO,0.552207449,2.005027384,2.456921073,4,0.120751342,0.645327447,1.716889429,3.553971487,2.518212572,22.36,0.129370687,N,,
1/26/2021,BNGOW,Micro,3DGapFade,1,F,NO-GO,0.557684628,2.323278285,0.831519911,3,0.18556701,0.638513514,1.795389049,57.78787879,5.109149927,9.7,0.165070692,,,
1/7/2021,NMTR,Small,3DGapFade,2,F,NO-GO,0.362395357,3.670793882,10.15005805,2,0.102189781,0.632896305,0.9054242,0.234234234,0.584016465,27.4,0.107377477,,,
6/16/2021,TRCH,Medium,3DGapFade,5,A+,GO,0.463346116,4.147644488,13.36118697,3,0.145956607,0.625,1.213973799,1.535,1.270284793,10.14,0.087024514,N,,
5/28/2021,AMC,Medium,3DGapFade,5,A+,GO,0.565869652,4.72921344,5.023474653,4,0.199472097,0.616087751,1.788643533,1.84244373,1.349272718,265.2,0.091294172,Y,,
