date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,fade_day_return,fade_day_close_position
2021-01-04,BTBT,Medium,3DGapFade,5,A+,GO,0.876885938908676,4.307830510056466,6.870601090769217,4,0.1729803742583295,1.074810606060606,2.7010135135135136,2.8847517730496457,2.597051435701269,21.91,0.11177674903827345,0.13891050583657588,0.5026666666666666
2021-01-06,CHEK,Medium,3DGapFade,5,A+,GO,1.0940784390153206,5.3831365009612755,7.605985914878052,4,0.052023121387283155,2.7608695652173916,4.088235294117648,3.8759864712514096,3.471797947108711,34.6,0.1352972749793559,-0.14835164835164832,0.2553191489361701
2021-01-07,NCTY,Medium,3DGapFade,5,A+,GO,1.163708241648867,4.235924675461893,6.820441058180596,5,0.4573539288112827,1.2492447129909365,4.242957746478873,2.6765432098765434,3.522811493833911,148.9,0.09988439029070324,-0.2119815668202765,0.08532423208191127
2021-01-07,MARA,Large,3DGapFade,5,A+,GO,0.36591186131809394,1.3362684231344688,1.92682422727204,3,0.18985849056603765,0.5404178019981836,1.3988684582743989,2.4471544715447155,1.846067359164974,16.96,0.14693480458221023,0.10802775024777006,0.6568965517241376
2021-01-07,SOL,Medium,3DGapFade,4,A,GO,0.3131005005767275,1.6303202599639917,0.9559747538858301,3,0.1301247771836008,0.31793265465935777,1.0574572127139363,2.169491525423729,1.5102917487023446,16.83,0.11480307274424922,-0.05310199789695048,0.27715877437325936
2021-01-08,CLSK,Medium,3DGapFade,3,B,CAUTION,0.3306269152969875,0.976512223840517,1.3469208266569785,3,0.04951720722951226,0.4649981864345303,1.4434361766485178,2.8911368015414256,1.6555945665180742,40.39,0.10648728468857213,-0.08233073838169384,0.24267517225868468
2021-01-08,PLUG,Medium,3DGapFade,5,A+,GO,0.31035106434249954,1.16979080677311,2.7779461911036694,3,0.09917530133220549,0.45284178187404006,0.6616303583977512,0.7698353293413174,0.8129540531733406,47.29,0.07501888046400632,0.03453251250480958,0.6747787610619469
2021-01-08,MARA,Medium,3DGapFade,5,A+,GO,0.5522074492395822,2.0050273839331134,2.4569210734383176,4,0.12075134168157421,0.64532744665195,1.7168894289185903,3.5539714867617107,2.518212571788215,22.36,0.1293706874520828,0.0530726256983241,0.5667396061269145
2021-01-08,LAC,Medium,3DGapFade,5,A+,GO,0.31846943649540094,1.6772201488690501,1.7825751251751958,6,0.04791995787256452,0.29713114754098346,0.9989473684210525,0.7830985915492956,0.7273372264367189,18.99,0.0729692319265779,-0.028643216080402028,0.7327586206896548
2021-01-13,STPK,Medium,3DGapFade,5,A+,GO,0.4010229310654801,1.268787367005346,3.021492548786563,5,0.05555555555555555,0.412318556296587,0.9459459459459459,2.5467980295566504,1.3746701846965699,36.0,0.10267896825396827,-0.1118421052631579,0.11308645912225436
