date,ticker,cap,setup_type,score,grade,recommendation,selloff_total_pct,consecutive_down_days,pct_off_30d_high,gap_pct,prior_day_range_atr,prior_day_rvol,pct_from_200mav,pct_from_50mav,pct_change_3,pct_change_15,pct_change_30,pct_off_52wk_high,current_price,atr_pct,bounce_day_return,bounce_low_to_close,bounce_day_close_position,review_status
2022-05-02,CRSP,Medium,GapFade_weakstock,3,F,NO-GO,-0.1214589235127478,4,-0.3005356639413589,-0.0008061265618701,1.2011033345439908,0.8742912897842959,-0.426196190715179,-0.1801030406577683,-0.0450346420323326,-0.1947419668938656,-0.2691117984975696,-0.7077049952874647,49.62,0.0733236886048252,0.0484066155707946,0.0739669421487603,0.9835164835164828,
2022-05-02,RIOT,Medium,GapFade_weakstock,4,C,NO-GO,-0.1528822055137844,4,-0.5714285714285714,-0.004930966469428,1.1794382379909805,1.022287580794221,-0.5988265478707937,-0.3923267771744993,-0.0765027322404371,-0.3920863309352517,-0.4807987711213518,-0.7808988764044944,10.14,0.1129311073541842,0.0872150644202181,0.1251282051282052,0.9918699186991872,
2022-05-02,ARKG,ETF,GapFade_weakstock,5,B,CAUTION,-0.1304347826086956,4,-0.3096446700507614,-0.0055882352941175,1.087104398455066,0.7435269456100791,-0.4645338314218634,-0.2179521386708865,-0.078590785907859,-0.2205410362219165,-0.263750541359896,-0.6388357765030805,34.0,0.0619535714285714,0.0576752440106476,0.0674626865671641,0.9955947136563854,REJECT
2022-05-02,F,Large,GapFade_weakstock,3,F,NO-GO,-0.0503018108651911,2,-0.2044943820224719,-0.0098870056497175,1.4083535484761038,1.2403252777558678,-0.1649121565435855,-0.1309791214051625,-0.0464646464646464,-0.0591362126245847,-0.1601423487544483,-0.4526478546579049,14.16,0.043876614205004,0.0178316690442225,0.0325615050651229,0.9574468085106392,
2022-05-02,ARKK,ETF,GapFade_weakstock,5,B,CAUTION,-0.1243032329988851,4,-0.3454621206860634,-0.0027583280288564,1.2260927343879358,1.062212260677948,-0.5035864378930073,-0.23280027087213,-0.0490314769975786,-0.2229183841714756,-0.283411889919416,-0.6443018867924528,47.13,0.0723050225819162,0.0665957446808511,0.0815533980582524,1.0,REJECT
2022-05-02,HTZ,Medium,GapFade_strongstock,4,C,NO-GO,-0.1543001686340641,2,-0.1761806981519508,-0.0029910269192422,1.7003279346454223,1.5369513021089292,,-0.0627657288094416,-0.1474713132171696,-0.0533270410571025,-0.0890099909173479,-0.2835714285714286,20.06,0.0674287850733513,0.023,0.0333333333333333,0.409937888198758,
2022-05-02,ALNY,Medium,GapFade_weakstock,3,F,NO-GO,-0.2073779256267078,6,-0.2601607984474632,-0.0137900022483699,1.4679178300054674,1.522725116740621,-0.2334168878093005,-0.1638236377901831,-0.1387167570358893,-0.1835148696609961,-0.1925567322239031,-0.3706132075471697,133.43,0.0576930118521214,0.0566912379360134,0.0566912379360134,0.9867724867724876,
2022-05-02,BA,Medium,GapFade_weakstock,3,F,NO-GO,-0.2050843836787011,8,-0.2466845058631976,-0.0055092717011555,1.1476612538881157,1.1743049363447289,-0.281410181824853,-0.1927313277085588,-0.0363848245500453,-0.1504566210045661,-0.2281284032567546,-0.4100673801030519,148.84,0.0498185491611317,0.0039859478448858,0.0364613156035516,0.8613252932647988,
2022-05-02,JKS,Medium,GapFade_strongstock,3,F,NO-GO,-0.0236190476190476,2,-0.1250320047793804,-0.0099492781896215,1.0762104026456252,1.4111760618690437,0.0392928105105227,0.0242945236411011,-0.0695225993828281,0.0712643678160918,-0.0278778683861179,-0.2276631007985536,51.26,0.0768563625215985,-0.0037438423645319,0.0318367346938776,0.571428571428573,
2022-05-02,CVNA,Medium,GapFade_weakstock,5,B,CAUTION,-0.2843560933448573,5,-0.6157517899761336,-0.0093167701863353,1.0723442956347886,1.3325850340483718,-0.7516224249467762,-0.4958149860209572,-0.1183449954365682,-0.4598825831702544,-0.593063259144843,-0.8461905899211847,57.96,0.1859119589864931,0.0531173807035875,0.0938856729377713,0.916475366413562,REJECT
2022-05-02,BTU,Medium,GapFade_strongstock,4,C,NO-GO,-0.0283261802575107,2,-0.3199158906578552,-0.017226148409894,1.064824407574555,1.199610490839137,0.4551578081364147,-0.0479874859132423,-0.1456603773584905,-0.1691743119266054,0.0347349177330896,-0.3199158906578552,22.64,0.1248567642604744,-0.0373033707865167,0.0382937469704315,0.4593023255813963,
2022-05-02,PLUG,Medium,GapFade_weakstock,3,F,NO-GO,-0.0678492239467849,4,-0.3441497659906395,-0.0104662226450998,1.0016507760190072,0.8084016575555824,-0.2520211796857208,-0.1677950131046552,-0.0501581563488476,-0.1921598770176787,-0.1961759082217972,-0.5479569892473118,21.02,0.0881038466766345,0.0432692307692307,0.0694923607688516,0.9624573378839592,
2022-05-02,IPI,Medium,GapFade_strongstock,5,B,CAUTION,-0.357388604514559,9,-0.3708511337495892,-0.0110995037868894,0.9119091574070844,0.9515872400924756,0.5678390313711119,-0.0440667979857746,-0.0945850082761882,-0.2836965672060612,0.1079282407407406,-0.3708511337495892,76.58,0.1338889303436182,-0.0035652977683878,0.0305927342256213,0.4250474383301701,REJECT
2022-05-03,HCP,Medium,GapFade_strongstock,3,F,NO-GO,-0.0396322778345251,2,-0.2168915542228886,-0.0074452244203361,0.845019167905836,0.9694424057243975,,-0.0474009710390443,-0.0663356504468719,-0.1262081784386617,-0.0295210569777043,-0.5433705682370082,47.01,0.1210844197283253,0.0218602657522503,0.0626253621573434,0.5118397085610202,
2022-05-03,JKS,Medium,GapFade_strongstock,3,F,NO-GO,-0.0369523809523809,3,-0.1369804557480583,-0.001384493670886,0.7148575147946694,0.937333114670482,0.025874103171769,0.0070389152023837,-0.0526513022297169,0.0041708043694141,-0.0190143577803647,-0.2382100346542112,50.56,0.0755328887884267,0.0714993067934244,0.0714993067934244,0.8167420814479647,
