ticker,date,setup,grade,cap,atr_pct,total_drop,drop_1030,drop_1100,frac_done_1100,rule,exit_min,capture,bounce_at_exit
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,eod,959,0.7587685113016369,0.13427331887201732
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,time_1200,720,0.7989088074824632,0.11193058568329706
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,time_1300,780,0.8035775526110679,0.10933188720173526
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,vwap_reclaim,612,0.13180046765393627,0.06012403100775199
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,mom30_flip,606,0.1691348402182386,0.04527131782945748
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,bounce_05atr,595,0.1757287607170696,0.038782823602100835
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,bounce_10atr,690,0.8246297739672642,0.0976138828633406
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,retrace_15,595,0.1757287607170696,0.038782823602100835
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,retrace_25,595,0.1757287607170696,0.038782823602100835
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,retrace_35,595,0.1757287607170696,0.038782823602100835
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,stale_45,648,0.23654715510522212,0.018452713178294555
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,stale_75,775,0.759166017147311,0.13405206073752707
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,flush_4atr,677,0.7381137957911147,0.05682272909163677
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,flush_abs35,959,0.7587685113016369,0.13427331887201732
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,volclimax,677,0.7381137957911147,0.05682272909163677
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,hybrid,677,0.7381137957911147,0.05682272909163677
MRNA,2020-02-27,3DGapFade,A,Medium,0.0577,0.3575808249721294,0.10117056856187301,0.1622073578595319,0.4536243180046768,half_flush,959,0.7484411535463757,
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,eod,959,0.6818565400843883,0.07743658210947912
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,time_1200,720,0.7848101265822787,0.052377529013043045
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,time_1300,780,0.7255274261603376,0.06680702475095002
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,vwap_reclaim,600,0.017721518987341252,0.032697081229136504
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,mom30_flip,694,0.540928270042194,0.023156899810964138
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,bounce_05atr,666,0.47271308016877656,0.03843761814744795
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,bounce_10atr,675,0.44008438818565393,0.045746691871455525
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,retrace_15,666,0.47271308016877656,0.03843761814744795
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,retrace_25,666,0.47271308016877656,0.03843761814744795
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,retrace_35,678,0.40202531645569606,0.05427221172022678
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,stale_45,753,0.6909282700421944,0.07522850980794904
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,stale_75,783,0.7308016877637131,0.06552326178494394
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,flush_4atr,708,0.9845822784810129,0.0037526959022284867
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,flush_abs35,959,0.6818565400843883,0.07743658210947912
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,volclimax,664,0.5443037974683543,0.006138963817319265
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,hybrid,708,0.9845822784810129,0.0037526959022284867
ZM,2020-02-28,2DGapFade,B,Medium,0.0457,0.19575452217725275,0.05261419013793667,0.06211282728999745,0.3172995780590715,half_flush,959,0.8332194092827006,
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,eod,959,0.7938238050609184,0.1999909090909091
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,time_1200,724,0.865979381443299,0.1299999999999999
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,time_1300,780,0.866447985004686,0.12954545454545463
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,vwap_reclaim,624,0.24179006560449873,0.1583798543689321
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,mom30_flip,606,0.3270852858481726,0.10315533980582514
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,bounce_05atr,595,0.39081537019681356,0.061893203883495174
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,bounce_10atr,595,0.39081537019681356,0.061893203883495174
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,retrace_15,595,0.39081537019681356,0.061893203883495174
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,retrace_25,596,0.3158388003748829,0.1104368932038835
CODX,2020-02-28,3DGapFade,A,Micro,0.0561,0.4923857868020305,0.239501615136133,0.239501615136133,0.4864104967197752,retrace_35,596,0.3158388003748829,0.1104368932038835
