ticker,date,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,vwap_slope15,below_open,made_new_hod,mae_pct,dist_to_pm_high_pct,fwd_to_low_pct,fwd_30min_pct,eod_close_pct,setup,grade,cap
VIR,2020-02-28,14:00,40.0,43.78,-44.41,-14.28,-0.1,True,False,1.14,-52.38,-0.03,-6.2,-14.25,GapDownTrendBreak,C,Small
VIR,2020-02-28,15:00,41.63,41.5,-42.15,-10.29,-0.18,True,False,1.14,-50.45,1.29,-1.33,-9.79,GapDownTrendBreak,C,Small
VIR,2020-02-28,15:45,42.99,39.58,-40.26,-6.97,-0.14,True,False,1.14,-48.82,3.47,-6.3,-6.3,GapDownTrendBreak,C,Small
CODX,2020-02-28,09:30,578.13,11.07,-11.4,-3.49,,True,False,0.37,-25.88,42.92,7.06,31.5,3DGapFade,A,Micro
CODX,2020-02-28,09:45,583.8,10.2,-10.53,1.73,-4.2,True,False,0.37,-25.15,43.47,5.65,32.17,3DGapFade,A,Micro
CODX,2020-02-28,10:00,537.3,17.35,-17.66,-4.5,-1.96,True,False,0.37,-31.12,38.58,-4.97,26.3,3DGapFade,A,Micro
CODX,2020-02-28,10:30,564.0,13.24,-13.56,1.23,-0.27,True,False,0.37,-27.69,41.49,2.18,29.79,3DGapFade,A,Micro
CODX,2020-02-28,11:00,551.7,15.14,-15.45,-0.87,-0.15,True,False,0.37,-29.27,40.18,10.7,28.22,3DGapFade,A,Micro
CODX,2020-02-28,11:30,492.68,24.22,-24.49,-10.73,-0.68,True,False,0.37,-36.84,33.02,29.43,19.62,3DGapFade,A,Micro
CODX,2020-02-28,12:00,347.7,46.52,-46.71,-33.92,-1.75,True,False,0.37,-55.42,5.09,-14.41,-13.89,3DGapFade,A,Micro
