ticker,date,exp,dte,strike,spot,open_iv,close_iv,open_ts,close_ts
AAOI,2025-03-26,2025-04-04,9,21.5,21.5,1.1019999999999999,1.0530499999999998,2025-03-26 10:30:00-04:00,2025-03-26 15:30:00-04:00
AAOI,2025-03-27,2025-04-04,8,18.0,18.0,1.1343,1.066,2025-03-27 10:30:00-04:00,2025-03-27 15:30:00-04:00
AAOI,2025-03-28,2025-04-04,7,17.0,17.0,1.10765,1.0899999999999999,2025-03-28 10:30:00-04:00,2025-03-28 15:30:00-04:00
AAOI,2025-03-31,2025-04-11,11,15.5,15.5,1.24235,1.2061000000000002,2025-03-31 10:30:00-04:00,2025-03-31 15:30:00-04:00
AAOI,2025-04-01,2025-04-11,10,15.0,15.0,1.24645,1.18905,2025-04-01 10:30:00-04:00,2025-04-01 15:30:00-04:00
AAOI,2025-04-02,2025-04-11,9,15.0,15.0,1.22595,1.16715,2025-04-02 10:30:00-04:00,2025-04-02 15:30:00-04:00
AAOI,2025-04-03,2025-04-11,8,14.5,14.5,1.323,1.3407499999999999,2025-04-03 10:30:00-04:00,2025-04-03 15:30:00-04:00
AAOI,2025-04-04,2025-04-11,7,12.0,12.0,1.5636,1.7906,2025-04-04 10:30:00-04:00,2025-04-04 15:30:00-04:00
AAOI,2026-06-23,2026-07-02,9,160.0,160.0,1.3987500000000002,1.35025,2026-06-23 10:30:00-04:00,2026-06-23 15:30:00-04:00
AAOI,2026-06-24,2026-07-02,8,149.0,149.0,1.3507500000000001,1.353,2026-06-24 10:30:00-04:00,2026-06-24 15:30:00-04:00
AAOI,2026-06-25,2026-07-02,7,149.0,149.0,1.3469,1.28965,2026-06-25 10:30:00-04:00,2026-06-25 15:30:00-04:00
AAOI,2026-06-26,2026-07-02,6,130.0,130.0,1.2533,1.3032,2026-06-26 10:30:00-04:00,2026-06-26 15:30:00-04:00
AAOI,2026-06-29,2026-07-10,11,139.0,139.0,1.27805,1.2691,2026-06-29 10:30:00-04:00,2026-06-29 15:30:00-04:00
AAOI,2026-06-30,2026-07-10,10,148.0,148.0,1.2567,1.23295,2026-06-30 10:30:00-04:00,2026-06-30 15:30:00-04:00
AAOI,2026-07-01,2026-07-10,9,141.0,141.0,1.2601,1.20155,2026-07-01 10:30:00-04:00,2026-07-01 15:30:00-04:00
AAOI,2026-07-02,2026-07-10,8,136.0,136.0,1.20695,1.242,2026-07-02 10:30:00-04:00,2026-07-02 15:30:00-04:00
AAPL,2018-01-25,2018-02-02,8,175.0,175.0,0.40275,0.40735,2018-01-25 09:30:00-05:00,2018-01-25 15:30:00-05:00
AAPL,2018-01-26,2018-02-02,7,172.5,172.5,0.41415,0.41059999999999997,2018-01-26 09:30:00-05:00,2018-01-26 15:30:00-05:00
AAPL,2018-01-29,2018-02-09,11,167.5,167.5,0.37124999999999997,0.44345,2018-01-29 09:30:00-05:00,2018-01-29 15:30:00-05:00
AAPL,2018-01-30,2018-02-09,10,165.0,165.0,0.47335,0.46430000000000005,2018-01-30 09:30:00-05:00,2018-01-30 15:30:00-05:00
AAPL,2018-01-31,2018-02-09,9,167.5,167.5,0.4838,0.4767,2018-01-31 09:30:00-05:00,2018-01-31 15:30:00-05:00
AAPL,2018-02-01,2018-02-09,8,167.5,167.5,0.49585,0.4665,2018-02-01 09:30:00-05:00,2018-02-01 15:30:00-05:00
AAPL,2018-02-02,2018-02-09,7,165.0,165.0,0.33015,0.2873,2018-02-02 09:30:00-05:00,2018-02-02 15:30:00-05:00
AAPL,2018-02-05,2018-02-16,11,160.0,160.0,0.30365,0.33340000000000003,2018-02-05 09:30:00-05:00,2018-02-05 15:30:00-05:00
AAPL,2025-03-26,2025-04-04,9,225.0,225.0,0.26849999999999996,0.2701,2025-03-26 10:30:00-04:00,2025-03-26 15:30:00-04:00
AAPL,2025-03-27,2025-04-04,8,222.5,222.5,0.27849999999999997,0.27595000000000003,2025-03-27 10:30:00-04:00,2025-03-27 15:30:00-04:00
AAPL,2025-03-28,2025-04-04,7,222.5,222.5,0.296,0.2841,2025-03-28 10:30:00-04:00,2025-03-28 15:30:00-04:00
AAPL,2025-03-31,2025-04-11,11,217.5,217.5,0.32930000000000004,0.32215,2025-03-31 10:30:00-04:00,2025-03-31 15:30:00-04:00
AAPL,2025-04-01,2025-04-11,10,220.0,220.0,0.33285,0.3134,2025-04-01 10:30:00-04:00,2025-04-01 15:30:00-04:00
AAPL,2025-04-02,2025-04-11,9,222.5,222.5,0.3124,0.3077,2025-04-02 10:30:00-04:00,2025-04-02 15:30:00-04:00
AAPL,2025-04-03,2025-04-11,8,207.5,207.5,0.42705,0.44715,2025-04-03 10:30:00-04:00,2025-04-03 15:30:00-04:00
AAPL,2025-04-04,2025-04-11,7,197.5,197.5,0.5849,0.6021000000000001,2025-04-04 10:30:00-04:00,2025-04-04 15:30:00-04:00
AFRM,2022-05-02,2022-05-13,11,28.5,28.5,1.8589,1.8049499999999998,2022-05-02 10:30:00-04:00,2022-05-02 15:30:00-04:00
AFRM,2022-05-03,2022-05-13,10,30.5,30.5,1.80835,1.8165499999999999,2022-05-03 10:30:00-04:00,2022-05-03 15:30:00-04:00
