cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form
1422841,AquaVenture Holdings Ltd,,2020-03-30,2020-03-30,0001104659-20-040378,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",4941,8-K
1595974,"RUBICON PROJECT, INC.",MGNI,2020-03-30,2020-04-01,0001387131-20-003516,"2.01,5.02,5.03,5.07,8.01,9.01",7370,8-K
1740695,"Lux Amber, Corp.",,2020-03-26,2020-04-01,0001477932-20-001756,"2.01,5.06,9.01",3960,8-K
1283699,"T-Mobile US, Inc.",TMUS,2020-03-26,2020-04-01,0001193125-20-093622,"1.01,1.02,2.01,2.03,3.03,5.02,5.03,7.01,9.01",4812,8-K
1375796,"Telaria, Inc.",,2020-03-30,2020-04-01,0001104659-20-041467,"2.01,3.01,3.03,5.01,5.02,5.03,5.07,8.01,9.01",7311,8-K
101830,SPRINT Corp,,2020-04-01,2020-04-01,0001193125-20-093630,"1.01,1.02,2.01,2.03,3.01,5.01,5.02,5.03,9.01",4813,8-K
1293818,OPGEN INC,OPGN,2020-04-01,2020-04-02,0001079973-20-000254,"2.01,5.02,8.01,9.01",8071,8-K
947559,FIRST BANCSHARES INC /MS/,FBMS,2020-04-03,2020-04-03,0001157523-20-000464,"2.01,8.01,9.01",6021,8-K
315849,SOUTHWEST GEORGIA FINANCIAL CORP,,2020-04-03,2020-04-03,0001104659-20-042749,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",6022,8-K
1118004,BANCPLUS CORP,,2020-04-01,2020-04-06,0001118004-20-000019,"2.01,5.02,7.01,9.01",6022,8-K
1484769,"FaceBank Group, Inc.",FUBO,2020-04-01,2020-04-07,0001493152-20-006005,"2.01,3.02,4.01,5.02,8.01,9.01",7812,8-K
101829,RAYTHEON TECHNOLOGIES CORP,RTX,2020-04-02,2020-04-08,0001140361-20-008397,"1.01,2.01,5.02,5.03,9.01",3724,8-K
1609471,Carey Watermark Investors 2 Inc,,2020-04-09,2020-04-13,0001104659-20-045999,"1.01,1.02,2.01,3.02,5.02,5.03,9.01",6798,8-K
1430259,Carey Watermark Investors Inc,,2020-04-09,2020-04-13,0001104659-20-045996,"1.02,2.01,3.03,5.01,5.02,5.03,9.01",6500,8-K
1704760,"American Virtual Cloud Technologies, Inc.",,2020-04-07,2020-04-14,0001213900-20-009113,"1.01,2.01,2.03,3.02,3.03,5.01,5.02,5.06,9.01",6770,8-K
1772757,DraftKings Inc.,,2020-04-23,2020-04-29,0001104659-20-052633,"1.01,2.01,3.02,4.01,5.01,5.02,5.06,9.01",7990,8-K
794172,MERIDIAN BIOSCIENCE INC,,2020-04-30,2020-04-30,0001193125-20-128802,"2.01,7.01,9.01",2835,8-K
1560327,"Rapid7, Inc.",RPD,2020-04-28,2020-05-04,0001193125-20-132385,"1.01,2.01,2.03,3.02,7.01,9.01",7372,8-K
1551986,"INNOVATE BIOPHARMACEUTICALS, INC.",NMTRQ,2020-04-29,2020-05-04,0001551986-20-000103,"1.01,2.01,3.02,5.01,5.02,5.03,8.01,9.01",2834,8-K
1694187,"Neon Therapeutics, Inc.",,2020-05-06,2020-05-06,0001694187-20-000050,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",2836,8-K
784011,POPE RESOURCES LTD PARTNERSHIP,,2020-05-08,2020-05-08,0001193125-20-137386,"2.01,9.01",0800,8-K
1753673,Scienjoy Holding Corp,SJ,2020-05-07,2020-05-13,0001213900-20-011974,"1.01,2.01,3.02,4.01,5.01,5.02,5.03,5.06,9.01",7374,8-K
52827,RAYONIER INC,RYN,2020-05-07,2020-05-13,0000052827-20-000138,"1.01,2.01,2.03,3.03,5.03,9.01",6798,8-K
1746109,Bank First Corp,BFC,2020-05-15,2020-05-18,0001104659-20-063225,"2.01,8.01,9.01",6021,8-K
886136,SAGA COMMUNICATIONS INC,SGA,2020-05-20,2020-05-20,0001104659-20-064224,"2.01,3.03,5.03,9.01",4832,8-K
1586105,Zyla Life Sciences,,2020-05-19,2020-05-20,0001104659-20-064288,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,5.07,9.01",2834,8-K
1808665,"Assertio Holdings, Inc.",ASRT,2020-05-20,2020-05-27,0001104659-20-066365,"1.01,2.01,2.03,5.02,5.05,9.01",2834,8-K
1460702,"Qualigen Therapeutics, Inc.",QLGN,2020-05-22,2020-05-29,0001493152-20-010166,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,8.01,9.01",2834,8-K
1675820,TiVo Corp,,2020-06-01,2020-06-01,0001193125-20-156719,"2.01,3.01,8.01,9.01",6794,8-K
1690666,Xperi Corp,,2020-06-01,2020-06-01,0001193125-20-156671,"2.01,3.01,8.01,9.01",3674,8-K
1479681,"Clinigence Holdings, Inc.",NUTX,2020-06-03,2020-06-03,0001607062-20-000142,"1.01,2.01,7.01,9.01",7389,8-K
1731289,Nikola Corp,NKLA,2020-06-03,2020-06-08,0001104659-20-070923,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3711,8-K
764038,SOUTH STATE Corp,SSB,2020-06-03,2020-06-08,0001104659-20-070646,"1.01,2.01,2.03,5.02,5.03,9.01",6022,8-K
1102266,CenterState Bank Corp,,2020-06-07,2020-06-08,0001564590-20-028550,"1.02,2.01,3.01,3.03,5.01,5.02,9.01",6021,8-K
1322505,"ALBIREO PHARMA, INC.",,2020-06-08,2020-06-09,0001104659-20-071096,"1.01,2.01,2.03,3.02,8.01,9.01",2834,8-K
1419041,Tocagen Inc,FBRX,2020-06-10,2020-06-15,0001193125-20-169584,"1.02,2.01,3.03,5.01,5.02,5.03,8.01,9.01",2834,8-K
1806201,Open Lending Corp,LPRO,2020-06-10,2020-06-16,0001193125-20-169633,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",6141,8-K
887730,KEMET CORP,,2020-06-17,2020-06-17,0001206774-20-001878,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",3670,8-K
1521036,"Lantheus Holdings, Inc.",LNTH,2020-06-19,2020-06-22,0001193125-20-174730,"1.01,2.01,5.02,8.01,9.01",2835,8-K
835887,PROGENICS PHARMACEUTICALS INC,,2020-06-19,2020-06-22,0001193125-20-174778,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",2834,8-K
1647088,WillScot Mobile Mini Holdings Corp.,WSC,2020-06-30,2020-07-01,0001104659-20-079826,"1.01,1.02,2.01,2.03,3.01,3.02,5.03,9.01",7350,8-K
933141,IBERIABANK CORP,,2020-07-01,2020-07-02,0001193125-20-185818,"2.01,3.01,3.03,5.01,5.02,5.03,7.01,9.01",6022,8-K
891103,"Match Group, Inc.",MTCH,2020-06-30,2020-07-02,0001104659-20-080606,"1.01,1.02,2.01,2.03,3.01,3.03,5.02,5.03,9.01",5990,8-K
36966,FIRST HORIZON NATIONAL CORP,"FHN, FHN-PB, FHN-PC, FHN-PE, FHN-PF",2020-06-29,2020-07-02,0000930413-20-001742,"2.01,3.03,5.02,5.03,7.01,9.01",6021,8-K
1347652,"CorEnergy Infrastructure Trust, Inc.",,2020-06-30,2020-07-07,0001347652-20-000066,"1.02,2.01,2.06,7.01,9.01",6798,8-K
1708176,Hall of Fame Resort & Entertainment Co,"HOFV, HOFVW",2020-07-01,2020-07-08,0001213900-20-016991,"1.01,2.01,3.02,5.01,5.02,5.06,9.01",6770,8-K
1533615,Global Medical REIT Inc.,"GMRE, GMRE-PA",2020-07-09,2020-07-09,0001104659-20-082414,"1.01,2.01,5.02,7.01,9.01",6798,8-K
1290677,"Turning Point Brands, Inc.",TPB,2020-07-16,2020-07-16,0001140361-20-016196,"2.01,5.01,8.01,9.01",2100,8-K
1590895,"Caesars Entertainment, Inc.",CZR,2020-07-17,2020-07-21,0001193125-20-196232,"1.01,1.02,2.01,2.03,3.03,4.01,5.02,5.03,9.01",7011,8-K
1705696,VICI PROPERTIES INC.,VICI,2020-07-20,2020-07-21,0001705696-20-000143,"1.01,1.02,2.01,7.01,9.01",6798,8-K
1704235,Quintana Energy Services Inc.,,2020-07-28,2020-07-28,0001104659-20-087284,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",1389,8-K
1738827,"KLX Energy Services Holdings, Inc.",KLXE,2020-07-28,2020-07-28,0001104659-20-087311,"2.01,3.03,5.02,5.03,8.01,9.01",1389,8-K
704051,"LEGG MASON, INC.",,2020-07-31,2020-07-31,0001193125-20-206706,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",6282,8-K
817720,SYNAPTICS Inc,SYNA,2020-07-31,2020-07-31,0001193125-20-205328,"2.01,7.01,9.01",3674,8-K
1739104,Elanco Animal Health Inc,ELAN,2020-07-30,2020-08-03,0001104659-20-089668,"1.01,1.02,2.01,2.03,3.02,7.01,9.01",2834,8-K
1649749,FB Financial Corp,FBK,2020-08-15,2020-08-18,0001193125-20-222966,"1.01,2.01,2.03,5.02,8.01,9.01",6022,8-K
1498382,"Kintara Therapeutics, Inc.",KTRA,2020-08-17,2020-08-21,0001213900-20-023287,"1.01,2.01,3.01,3.02,3.03,5.02,5.03,9.01",2834,8-K
1792849,"HighPeak Energy, Inc.","HPK, HPKEW",2020-08-21,2020-08-27,0001437749-20-018850,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",1381,8-K
850261,"Sorrento Therapeutics, Inc.",SRNE,2020-09-01,2020-09-02,0001104659-20-101663,"2.01,3.02,8.01,9.01",2836,8-K
1739566,"Utz Brands, Inc.",UTZ,2020-08-28,2020-09-03,0001104659-20-102266,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,5.03",2090,8-K
1658880,BARE METAL STANDARD INC.,,2020-09-08,2020-09-10,0001214659-20-007761,"1.01,2.01,5.01,5.02",3564,8-K
1559172,"DIEGO PELLICER WORLDWIDE, INC",,2020-09-09,2020-09-16,0001731122-20-000956,"1.01,2.01",8200,8-K
892222,"CRAFT BREW ALLIANCE, INC.",,2020-09-30,2020-09-30,0001104659-20-110472,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",2082,8-K
1452936,"Pacific Oak Strategic Opportunity REIT, Inc.",PCOK,2020-10-05,2020-10-05,0001452936-20-000083,"2.01,7.01,9.01",6798,8-K
1580673,"Pacific Oak Strategic Opportunity REIT II, Inc.",,2020-10-01,2020-10-05,0001580673-20-000035,"1.02,2.01,3.03,5.01,5.02,5.03,5.07,7.01,9.01",6798,8-K
72207,NOBLE ENERGY INC,,2020-10-05,2020-10-05,0001193125-20-263378,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",1311,8-K
1745317,"Velodyne Lidar, Inc.",,2020-09-29,2020-10-05,0001104659-20-112259,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3569,8-K
1759631,Hyliion Holdings Corp.,HYLN,2020-10-01,2020-10-07,0001213900-20-030492,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3713,8-K
1793229,MultiPlan Corp,"MPLN, MPLNW",2020-10-08,2020-10-09,0001104659-20-113620,"1.01,2.01,3.02,4.01,5.01,5.03,5.06,5.07,9.01",7389,8-K
1572694,"Goldman Sachs BDC, Inc.",GSBD,2020-10-12,2020-10-13,0001193125-20-267861,"2.01,3.03,5.02,5.03,7.01,9.01",,8-K
1683074,Goldman Sachs Middle Market Lending Corp.,,2020-10-12,2020-10-13,0001193125-20-267864,"1.02,2.01,3.03,5.01,5.02,5.03,7.01,9.01",,8-K
1776909,Software Acquisition Group Inc.,"CURI, CURIW",2020-10-14,2020-10-15,0001213900-20-031372,"1.01,2.01,4.01,5.02,5.03,5.05,5.06,5.07,9.01",7812,8-K
1741231,"Tattooed Chef, Inc.",TTCFQ,2020-10-15,2020-10-21,0001213900-20-032445,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,9.01",2090,8-K
1819881,Paya Holdings Inc.,,2020-10-16,2020-10-22,0001213900-20-032814,"1.01,1.02,2.01,3.02,4.01,5.06,7.01,9.01",7389,8-K
1759546,Lordstown Motors Corp.,NRDE,2020-10-23,2020-10-29,0001104659-20-119279,"1.01,2.01,3.02,4.01,5.01,5.02,5.06,9.01",3711,8-K
1639225,"Livongo Health, Inc.",,2020-10-30,2020-10-30,0001104659-20-119767,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",7370,8-K
1477449,"Teladoc Health, Inc.",TDOC,2020-10-29,2020-10-30,0001104659-20-119769,"1.01,2.01,2.03,5.02,5.03,7.01,9.01",8011,8-K
1805387,"Cerevel Therapeutics Holdings, Inc.",,2020-10-27,2020-11-02,0001193125-20-283964,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",2834,8-K
1776661,Advantage Solutions Inc.,"ADV, ADVWW",2020-10-28,2020-11-03,0001193125-20-284770,"1.01,2.01,2.03,3.02,5.01,5.02,5.06,8.01,9.01",7389,8-K
1720990,Fisker Inc./DE,FSRNQ,2020-10-29,2020-11-04,0001193125-20-285584,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3711,8-K
1791091,"SOC Telemed, Inc.",,2020-10-30,2020-11-05,0001213900-20-035335,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06",8090,8-K
1228627,"REXAHN PHARMACEUTICALS, INC.",OCUP,2020-11-06,2020-11-06,0001140361-20-024749,"1.01,2.01,3.03,4.01,5.01,5.02,5.03,5.05,9.01",2834,8-K
1753886,Stonemor Inc.,,2020-11-03,2020-11-09,0001193125-20-289099,"1.01,2.01,5.02,5.07,7.01,9.01",7200,8-K
1025835,ENTERPRISE FINANCIAL SERVICES CORP,"EFSC, EFSCP",2020-11-12,2020-11-12,0001025835-20-000110,"2.01,5.02,7.01,9.01",6022,8-K
1690080,180 Life Sciences Corp.,"ATNF, ATNFW",2020-11-06,2020-11-12,0001213900-20-036383,"1.01,2.01,3.02,3.03,5.01,5.02,5.06,9.01",6770,8-K
1801368,MP Materials Corp. / DE,MP,2020-11-17,2020-11-17,0001193125-20-296150,"1.01,2.01,3.02,3.03,5.01,5.02,5.06,7.01,9.01",1000,8-K
1402479,MYOS RENS TECHNOLOGY INC.,MDVLQ,2020-11-18,2020-11-18,0001628280-20-016545,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.07,9.01",2834,8-K
1463913,US Alliance Corp,,2020-11-16,2020-11-20,0001437749-20-024279,"1.01,2.01,9.01",6311,8-K
1819796,GCM Grosvenor Inc.,"GCMG, GCMGW",2020-11-17,2020-11-20,0001213900-20-038527,"1.01,2.01,3.02,5.02,5.03,9.01",6282,8-K
1566373,"F-star Therapeutics, Inc.",,2020-11-19,2020-11-20,0001193125-20-299470,"2.01,3.03,4.01,5.01,5.02,5.03,5.07,7.01,9.01",2834,8-K
1805077,"Eos Energy Enterprises, Inc.","EOSE, EOSEW",2020-11-16,2020-11-20,0001213900-20-038551,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,9.01",3690,8-K
1698113,"PARTS iD, Inc.",,2020-11-20,2020-11-27,0001213900-20-039479,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",7311,8-K
1811414,QuantumScape Corp,QS,2020-11-25,2020-12-02,0001193125-20-308489,"1.01,2.01,3.01,3.02,3.03,5.01,5.02,5.06,9.01",3690,8-K
1815903,"Petros Pharmaceuticals, Inc.",PTPI,2020-12-01,2020-12-02,0001104659-20-131358,"1.01,2.01,3.03,5.01,5.02,5.03,8.01,9.01",2834,8-K
1513856,"Neurotrope, Inc.",,2020-12-01,2020-12-07,0001104659-20-132905,"1.01,2.01,3.01,3.03,5.01,5.02,8.01,9.01",2834,8-K
1758057,"Luminar Technologies, Inc./DE",LAZR,2020-12-02,2020-12-08,0001193125-20-312776,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3714,8-K
1754820,"Desktop Metal, Inc.",DM,2020-12-09,2020-12-14,0001104659-20-135029,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",3577,8-K
1742927,"REVIVA PHARMACEUTICALS HOLDINGS, INC.","RVPH, RVPHW",2020-12-14,2020-12-18,0001104659-20-137506,"1.01,2.01,3.02,3.03,4.01,5.01,5.03,5.05,5.06",2834,8-K
1801169,Opendoor Technologies Inc.,OPEN,2020-12-18,2020-12-18,0001104659-20-137517,"1.01,2.01,3.02,3.03,4.01,5.02,5.03,5.06,9.01",6531,8-K
1801661,Skillz Inc.,SKLZ,2020-12-16,2020-12-21,0001104659-20-138151,"1.01,2.01,3.02,4.01,5.01,5.02,5.06,9.01",7374,8-K
1614976,"Cole Office & Industrial REIT (CCIT III), Inc.",,2020-12-17,2020-12-22,0001193125-20-324580,"1.02,2.01,3.03,5.01,5.02,5.03,5.07,9.01",6798,8-K
1580988,"Cole Credit Property Trust V, Inc.",,2020-12-17,2020-12-22,0001193125-20-324563,"1.02,2.01,3.03,5.01,5.02,5.03,5.07,9.01",6798,8-K
1750153,Canoo Inc.,"GOEV, GOEVW",2020-12-21,2020-12-22,0001213900-20-044117,"1.01,2.01,3.02,4.01,5.01,5.02,5.06,9.01",3714,8-K
1379785,"Barings BDC, Inc.",BBDC,2020-12-23,2020-12-23,0001140361-20-029416,"1.01,2.01,5.02,5.07,7.01,9.01",,8-K
1772720,XL Fleet Corp.,SPRU,2020-12-21,2020-12-23,0001193125-20-326022,"1.01,1.02,2.01,3.02,3.03,5.01,5.02,5.06,9.01",3714,8-K
1723580,"BurgerFi International, Inc.","BFI, BFIIW",2020-12-16,2020-12-23,0001213900-20-044181,"1.01,2.01,3.02,4.01,5.02,5.03,5.06,8.01,9.01",5812,8-K
1819615,Clever Leaves Holdings Inc.,CLVR,2020-12-18,2020-12-28,0001213900-20-044866,"1.01,2.01,2.03,3.02,3.03,5.01,5.02,5.06,9.01",2834,8-K
1710366,CONSOL Energy Inc.,CEIX,2020-12-29,2020-12-30,0001193125-20-329285,"1.02,2.01,5.07,7.01,9.01",1220,8-K
1445283,"YUMANITY THERAPEUTICS, INC.",KA,2020-12-22,2020-12-30,0001193125-20-329889,"1.01,2.01,2.03,3.02,3.03,5.01,5.02,5.03,9.01",2834,8-K
1796129,"Vincera Pharma, Inc.",VINC,2020-12-23,2020-12-30,0001193125-20-329821,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",2834,8-K
1637558,CONSOL Coal Resources LP,,2020-12-29,2020-12-30,0001193125-20-329289,"1.01,1.02,2.01,3.01,3.02,3.03,5.02,5.07,9.01",1220,8-K
1823794,ARKO Corp.,"ARKO, ARKOW",2020-12-22,2020-12-31,0001193125-20-330008,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,9.01",5412,8-K
839470,"WESTWATER RESOURCES, INC.",WWR,2020-12-31,2020-12-31,0001052918-20-000386,"1.01,2.01,9.01",1000,8-K
1784535,"Porch Group, Inc.",PRCH,2020-12-23,2020-12-31,0001213900-20-045506,"1.01,2.01,4.01,5.01,5.05,5.06,9.01",7372,8-K
1316835,"Builders FirstSource, Inc.",BLDR,2020-12-31,2021-01-04,0001193125-21-000344,"1.01,1.02,2.01,2.03,2.04,5.02,5.03,9.01",5211,8-K
1578735,National General Holdings Corp.,,2021-01-04,2021-01-04,0001193125-21-001004,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",6331,8-K
1779020,"Danimer Scientific, Inc.","DNMR, DNMRW",2020-12-29,2021-01-05,0001213900-21-000468,"2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,9.01",2821,8-K
1793659,"Rush Street Interactive, Inc.",RSI,2020-12-29,2021-01-05,0001193125-21-002054,"1.01,2.01,3.02,5.01,5.02,5.05,5.06,8.01,9.01",7990,8-K
1768012,"Golden Nugget Online Gaming, Inc.",,2020-12-29,2021-01-05,0001104659-21-001022,"1.01,2.01,2.03,3.02,3.03,5.01,5.02,5.03,5.06",7372,8-K
1822791,Clene Inc.,"CLNN, CLNNW",2020-12-30,2021-01-05,0001213900-21-000487,"1.01,2.01,3.02,4.01,5.01,5.03,5.06,5.07,9.01",2834,8-K
1757932,"Romeo Power, Inc.",,2020-12-29,2021-01-05,0001104659-21-001031,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,9.01",3690,8-K
1518832,"WPX ENERGY, INC.",,2021-01-07,2021-01-07,0001104659-21-002045,"1.02,2.01,3.01,5.01,5.02,7.01,9.01",1311,8-K
1090012,DEVON ENERGY CORP/DE,DVN,2021-01-07,2021-01-07,0001193125-21-004318,"1.01,2.01,5.02,7.01,9.01",1311,8-K
1725872,"BM Technologies, Inc.","BMTX, BMTX-WT",2021-01-04,2021-01-08,0001213900-21-001260,"1.01,2.01,2.03,3.02,3.03,5.01,5.02,5.06,9.01",6022,8-K
1488813,"Customers Bancorp, Inc.","CUBB, CUBI, CUBI-PE, CUBI-PF",2021-01-04,2021-01-08,0001488813-21-000008,"2.01,9.01",6022,8-K
832428,E.W. SCRIPPS Co,SSP,2021-01-04,2021-01-08,0000832428-21-000004,"1.01,2.01,2.03,3.02,5.02,5.03,9.01",4833,8-K
1555039,Front Yard Residential Corp,,2021-01-11,2021-01-11,0001193125-21-006316,"2.01,3.01,3.03,5.01,5.02,7.01,9.01",6500,8-K
1801170,"CLOVER HEALTH INVESTMENTS, CORP. /DE",CLOV,2021-01-07,2021-01-12,0001193125-21-007348,"1.01,2.01,3.02,3.03,4.01,5.02,5.03,5.06,9.01",6324,8-K
1721386,Landsea Homes Corp,"LSEA, LSEAW",2021-01-07,2021-01-13,0001731122-21-000062,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",1531,8-K
1774155,BTRS Holdings Inc.,,2021-01-12,2021-01-14,0001140361-21-001212,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,9.01",7371,8-K
1783398,UWM Holdings Corp,"UWMC, UWMC-WT",2021-01-21,2021-01-22,0001193125-21-014912,"1.01,2.01,2.03,3.01,3.02,4.01,5.01,5.02,9.01",6162,8-K
1773751,"Hims & Hers Health, Inc.",HIMS,2021-01-20,2021-01-26,0001193125-21-017838,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",8011,8-K
1759008,"CarLotz, Inc.",,2021-01-21,2021-01-27,0001104659-21-008177,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",5500,8-K
846617,"Dime Community Bancshares, Inc. /NY/","DCOM, DCOMG, DCOMP",2021-02-01,2021-02-01,0001104659-21-009751,"2.01,2.03,3.01,5.02,5.03,8.01,9.01",6021,8-K
1725255,AdaptHealth Corp.,AHCO,2021-01-28,2021-02-02,0001104659-21-010572,"1.01,2.01,3.02,3.03,5.02,5.03,7.01,9.01",8082,8-K
1807707,"AppHarvest, Inc.",,2021-01-29,2021-02-02,0001104659-21-010348,"1.01,2.01,3.02,3.03,4.01,5.02,5.03,5.06,9.01",0100,8-K
1606698,Alpine 4 Technologies Ltd.,ALPP,2021-02-08,2021-02-09,0001096906-21-000295,2.01,3669,8-K
1744494,"ADVENT TECHNOLOGIES HOLDINGS, INC.","ADN, ADNWW",2021-02-04,2021-02-09,0001140361-21-003946,"2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,9.01",3690,8-K
1237746,"Endurance International Group Holdings, Inc.",,2021-02-10,2021-02-10,0001193125-21-036258,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",7372,8-K
1800347,"E2open Parent Holdings, Inc.","ETWO, ETWO-WT",2021-02-04,2021-02-10,0001104659-21-019902,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,9.01",7374,8-K
1816736,"Gemini Therapeutics, Inc. /DE",IRON,2021-02-05,2021-02-11,0001213900-21-008478,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,9.01",2834,8-K
1819035,"Metromile, Inc.",,2021-02-09,2021-02-11,0001213900-21-008472,"1.01,2.01,2.03,3.02,4.01,5.01,5.02,5.06,9.01",6331,8-K
1811063,Nuvation Bio Inc.,"NUVB, NUVB-WT",2021-02-10,2021-02-12,0001193125-21-041929,"1.01,2.01,3.01,3.03,4.01,5.02,5.03,5.06,9.01",2834,8-K
1803914,"PLBY Group, Inc.",PLBY,2021-02-10,2021-02-16,0001104659-21-024317,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",5900,8-K
1804176,"Butterfly Network, Inc.","BFLY, BFLY-WT",2021-02-12,2021-02-16,0001104659-21-023964,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3844,8-K
1681459,TechnipFMC plc,FTI,2021-02-15,2021-02-16,0001140361-21-004982,"1.01,2.01,2.03,5.02,8.01,9.01",3533,8-K
1817760,"SmartKem, Inc.",SMTK,2021-02-23,2021-02-24,0001104659-21-027574,"1.01,2.01,3.02,4.01,5.01,5.02,5.03,5.06,9.01",6770,8-K
1425203,Astro Aerospace Ltd.,,2021-02-10,2021-02-25,0001014897-21-000002,"1.01,2.01,9.01",3728,8-K
1576018,Third Point Reinsurance Ltd.,"SPNT, SSPFF, SPNT-PB",2021-02-25,2021-02-26,0001576018-21-000031,"1.01,2.01,2.03,3.02,3.03,4.01,5.02,5.03,9.01",6331,8-K
1600626,"Griffin Capital Essential Asset REIT, Inc.",PKST,2021-02-25,2021-03-01,0001600626-21-000073,"2.01,2.03,5.02,7.01,9.01",6798,8-K
1777393,"ChargePoint Holdings, Inc.",CHPT,2021-02-26,2021-03-01,0001193125-21-063743,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3790,8-K
1236997,COUNTERPATH CORP,,2021-03-01,2021-03-02,0001062993-21-002128,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",7372,8-K
1075607,TC PIPELINES LP,,2021-03-03,2021-03-03,0001104659-21-031578,"2.01,3.01,3.03,5.01,5.02,7.01,9.01",4922,8-K
837465,CALLAWAY GOLF CO,MODG,2021-03-08,2021-03-08,0001193125-21-073248,"2.01,5.02,7.01,9.01",3949,8-K
1803498,Blackstone Private Credit Fund,,2021-03-05,2021-03-11,0001193125-21-077914,"1.01,2.01,2.03,9.01",,8-K
1811856,"View, Inc.",,2021-03-08,2021-03-12,0001193125-21-079857,"1.01,2.01,3.01,3.02,4.01,5.01,5.02,5.06,9.01",3211,8-K
1816581,Colonnade Acquisition Corp.,"OUST, OUST-WT, OUST-WTA",2021-03-10,2021-03-15,0001193125-21-080038,"1.01,2.01,3.02,3.03,5.01,5.02,5.06,8.01,9.01",3569,8-K
1539838,"Diamondback Energy, Inc.",FANG,2021-03-17,2021-03-17,0001193125-21-084144,"2.01,2.03,8.01,9.01",1311,8-K
1534248,Anchiano Therapeutics Ltd.,CMMB,2021-03-15,2021-03-17,0001104659-21-037294,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.07,9.01",2834,8-K
1585389,"SmartStop Self Storage REIT, Inc.","SSST, STSFF",2021-03-17,2021-03-17,0001193125-21-083929,"1.01,2.01,2.03,7.01,9.01",6798,8-K
1680232,"Strategic Storage Trust IV, Inc.",,2021-03-15,2021-03-17,0001193125-21-083932,"1.02,2.01,3.03,5.01,5.02,5.03,7.01,9.01",6798,8-K
1108827,"QEP RESOURCES, INC.",,2021-03-17,2021-03-17,0001193125-21-084161,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",1311,8-K
1789029,"Aeva Technologies, Inc.","AEVA, AEVA-WT",2021-03-12,2021-03-18,0001193125-21-085979,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",3714,8-K
1047884,ANWORTH MORTGAGE ASSET CORP,,2021-03-19,2021-03-19,0001157523-21-000370,"2.01,3.01,3.03,5.01,5.02,7.01,8.01,9.01",6798,8-K
