cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct,new_ticker,flip_date,flip_ticker,old_ticker,n_ticker_events,polygon_active,list_date,sic_code,sic_description,polygon_name,market_cap_now,delisted_utc,public_shares_pre_vote,enrich_status,flip_source,redemption_pct_final,post_redeem_float_est,redemption_pct_best,sector,sector_margin,is_hightech,ann_day0_date,ann_prev_close,ann_gap_pct,ann_day0_ret_pct,ann_2d_high_ret_pct,ann_day0_vol_mult,ann_to_vote_ret_pct,vote_day_close,last_old_date,last_old_close,vote_to_lastold_ret_pct,flip_day0_date,flip_open,flip_close,flip_high,flip_volume,flip_gap_pct,flip_day_ret_pct,flip_high_ret_pct,post_flip_ret_1d_pct,post_flip_ret_3d_pct,post_flip_ret_5d_pct,post_flip_ret_10d_pct,max_runup_10d_pct,max_drawdown_10d_pct,untraded_gap_days,flip_lag_cal_days,split_at_flip
1844452,"Intuitive Machines, Inc.","LUNR, LUNRW",2023-02-13,2023-02-14,0001213900-23-011495,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,9.01",3812.0,8-K,LUNR,Nasdaq,3812.0,"Search, Detection, Navigation, Guidance, Aeronautical Sys","Intuitive Machines, Inc.",Inflection Point Acquisition Corp.,2022-09-16,425,1,2023-02-08,2023-02-08,True,False,True,,IPAX,LUNR,27481939.0,,,10.1843,super8k,True,True,,LUNR,2023-02-14,LUNR,IPAX,1.0,True,2023-02-14,3812.0,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS","Intuitive Machines, Inc. Class A Common Stock",2589700267.26,,32979999.0,ok,ticker_event,83.3,5498060.0,83.3,space_defense,6,True,2022-09-16,9.74,1.23,1.08,1.64,105.4,6.04,10.4399,2023-02-13,10.42,-0.19,2023-02-14,10.0,10.03,10.69,51365.0,-4.03,-3.74,2.59,22.26,290.6,686.85,85.03,1205.18,-17.94,0.0,1.0,False
1869974,"Ocean Biomedical, Inc./DE","OCEA, OCEAW",2023-02-14,2023-02-15,0001493152-23-005097,"1.01,2.01,2.03,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,9.01",2834.0,8-K/A,OCEA,OTC,2834.0,Pharmaceutical Preparations,"Ocean Biomedical, Inc.","Ocean Biomedical, Inc./DE; Aesther Healthcare Acquisition Corp.",2022-08-31,425,1,2023-02-07,2023-02-03,True,False,True,,AEHA,OCEA,10389093.0,,,10.56,super8k,True,True,,OCEA,2023-02-15,OCEA,AEHA,1.0,True,,,,OCEAN BIOMEDICAL INC,,,10600000.0,ok,first_aggs_bar,98.0,210907.0,98.0,biotech_health,1,False,2022-08-31,10.17,0.29,0.25,0.29,212.3,7.9,11.0,2023-02-14,9.9608,-9.45,2023-02-15,9.96,6.03,13.93,144921.0,-0.01,-39.46,39.85,-45.62,-66.27,8.43,-37.15,167.06,-69.28,0.0,1.0,False
1841425,"Verde Clean Fuels, Inc.","VGAS, VGASW",2023-02-15,2023-02-21,0001213900-23-013297,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,8.01,9.01",2860.0,8-K,"VGAS,VGASW","Nasdaq,Nasdaq",2860.0,Industrial Organic Chemicals,"Verde Clean Fuels, Inc.",CENAQ Energy Corp.,2022-08-12,PREM14A,1,2023-01-04,2023-01-04,False,False,True,,CENQ,VGAS,15403880.0,,,10.31,super8k,True,True,,VGAS,2023-02-16,VGAS,CENQ,1.0,True,2023-02-16,2860.0,INDUSTRIAL ORGANIC CHEMICALS,"Verde Clean Fuels, Inc. Class A Common Stock",23593094.470000003,,20930000.0,ok,ticker_event,73.6,5526120.0,73.6,energy,1,False,2022-08-12,10.1,0.2,0.2,0.2,0.6,-5.14,9.6,2023-02-15,10.72,11.67,2023-02-16,10.77,10.75,13.9999,194171.0,0.47,0.28,30.6,4.01,11.01,38.06,-16.14,95.9,-35.17,0.0,1.0,False
1848959,Decarbonization Plus Acquisition Corp IV,,2023-02-21,2023-02-27,0001193125-23-049537,"1.01,2.01,3.01,3.03,8.01,9.01",6770.0,8-K,,,6770.0,Blank Checks,Decarbonization Plus Acquisition Corp IV,,2022-09-26,425,1,2023-01-25,2023-01-23,True,True,False,,DCRD,DCRD,31498579.0,,,10.3,llm,True,True,,DCRD,,DCRD,DCRD,0.0,,,,,,,,31630000.0,no_flip_event,,99.6,131421.0,99.6,other,0,False,2022-09-26,10.03,0.2,0.1,1.2,38.6,3.78,10.42,2023-02-24,14.15,35.8,,,,,,,,,,,,,,,,,
1672619,"Enliven Therapeutics, Inc.",ELVN,2023-02-23,2023-03-01,0001193125-23-056303,"1.01,2.01,3.03,4.01,5.01,5.02,5.03,5.05,8.01,9.01",2834.0,8-K,ELVN,Nasdaq,2834.0,Pharmaceutical Preparations,"Enliven Therapeutics, Inc.",IMARA Inc.,2022-10-13,425,4,2023-02-22,2023-02-22,True,False,True,"Merger, dated as of October 13, 2022",IMRA,ELVN,,,,,,False,False,,ELVN,2023-02-24,ELVN,IMRA,1.0,True,2023-02-24,2834.0,PHARMACEUTICAL PREPARATIONS,"Enliven Therapeutics, Inc. Common Stock",3649781725.2,,26230000.0,ok,ticker_event,,,,biotech_health,10,False,2022-10-13,2.47,-0.4,4.45,54.66,16.0,111.24,5.45,2023-02-23,6.32,15.96,2023-02-24,24.0,23.75,25.34,126471.0,279.75,275.79,300.95,232.28,242.09,249.68,233.7,300.95,204.43,0.0,1.0,True
1077771,UMPQUA HOLDINGS CORP,,2023-02-28,2023-03-01,0001193125-23-056482,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",6035.0,8-K,,,6035.0,"Savings Institution, Federally Chartered",UMPQUA HOLDINGS CORP,,2021-10-12,425,14,2022-01-28,2022-01-26,True,False,False,Columbia,,,,,,,,False,False,,,,,,,,,,,,,,,no_ticker,,,,,other,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887343,"COLUMBIA BANKING SYSTEM, INC.",COLB,2023-02-28,2023-03-01,0001193125-23-056342,"2.01,2.03,5.02,5.03,8.01,9.01",6022.0,8-K,COLB,Nasdaq,6022.0,State Commercial Banks,"COLUMBIA BANKING SYSTEM, INC.",COLUMBIA BANKING SYSTEM INC,2021-06-24,425,16,2022-04-29,2022-04-27,True,False,False,Umpqua,,,,,,,,False,False,,COLB,,COLB,COLB,1.0,True,2023-03-01,6022.0,STATE COMMERCIAL BANKS,Columbia Banking Systems Inc,9278166230.3,,78710000.0,no_flip_event,,,,,fintech,2,True,2021-06-24,39.3,-0.89,-0.71,1.27,4.8,-23.91,29.69,2023-03-10,23.92,-19.43,,,,,,,,,,,,,,,,,
1011060,EKIMAS Corp,NORD,2023-03-01,2023-03-01,0001493152-23-006431,"1.01,2.01,3.02,5.01,5.02,5.06,8.01,9.01",3841.0,8-K,NORD,OTC,8742.0,Services-Management Consulting Services,Nordicus Partners Corp,EKIMAS Corp; AdvanSource Biomaterials Corp; CARDIOTECH INTERNATIONAL INC,2002-12-23,S-4,3,2020-01-24,2020-01-21,False,False,True,,,TABLE,,,,,,False,False,,NORD,,NORD,,1.0,True,,,,NORDICUS PARTNERS CORP,,,,no_flip_event,,,,,other,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1466538,COWEN INC.,,2023-03-01,2023-03-01,0000950157-23-000197,"1.01,1.02,2.01,2.03,2.04,3.01,3.03,5.01,5.02,5.03,8.01,9.01",6211.0,8-K,,,6211.0,"Security Brokers, Dealers & Flotation Companies",COWEN INC.,"COWEN GROUP, INC.; LexingtonPark Parent Corp",2009-07-10,S-4,15,2022-11-15,2022-11-15,False,False,False,Crimson Holdings Acquisition Co,COWN,COWN,,,,,,True,False,,COWN,,COWN,COWN,0.0,,,,,,,,28010000.0,no_flip_event,,,,,other,0,False,,,,,,,,,2023-02-28,38.99,,,,,,,,,,,,,,,,,,
896493,"Ault Alliance, Inc.","AULT, AULT-PD",2023-03-03,2023-03-06,0001214659-23-003550,"2.01,9.01",3679.0,8-K/A,"GPUS,GPUS-PD","NYSE,NYSE",3533.0,Oil & Gas Field Machinery & Equipment,"Hyperscale Data, Inc.","Ault Alliance, Inc.; BitNile Holdings, Inc.; Ault Global Holdings, Inc.; DPW Holdings, Inc.; DIGITAL POWER CORP",,,19,2022-11-23,2022-11-23,False,False,True,,AULT,PRD,0.0,,,,llm,False,True,,GPUS,,AULT,AULT,1.0,True,1996-12-17,3533.0,OIL & GAS FIELD MACHINERY & EQUIPMENT,"Hyperscale Data, Inc.",62824712.9722,,,no_flip_event,,,,,crypto,0,True,,,,,,,,,2023-03-13,0.1095,,,,,,,,,,,,,,,,,,
1485003,Carisma Therapeutics Inc.,CARM,2023-03-07,2023-03-08,0001104659-23-029687,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,7.01,8.01,9.01",2834.0,8-K,CARM,OTC,2834.0,Pharmaceutical Preparations,Carisma Therapeutics Inc.,"Sesen Bio, Inc.; Eleven Biotherapeutics, Inc.",2022-09-27,425,10,2023-03-02,2023-03-02,True,False,True,,SESN,CARM,,,,,,False,False,,CARM,2023-03-08,CARM,SESN,1.0,True,,,,CARISMA THERAPEUTICS INC,,,202760000.0,ok,ticker_event,,,,biotech_health,4,False,2022-09-27,0.3892,2.77,-2.36,5.86,2.3,53.71,0.5841,2023-03-07,0.6288,7.65,2023-03-08,5.79,3.67,5.88,498839.0,820.8,483.65,835.11,474.11,429.58,400.95,361.2,835.11,340.52,0.0,1.0,True
1746278,"GoLogiq, Inc.",GOLQ,2023-03-06,2023-03-09,0001575872-23-000338,"2.01,5.07,7.01,9.01",7370.0,8-K,,,7370.0,"Services-Computer Programming, Data Processing, Etc.","GoLogiq, Inc.",LOVARRA,,,1,2023-03-09,2023-03-06,False,False,True,"GammaRey, Inc",,,,,,,,False,False,,GOLQ,,GOLQ,,3.0,True,,,,GOLOGIQ INC,,,,no_flip_event,,,,,other,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
