cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
101382,UMB FINANCIAL CORP,UMBF,2025-01-31,2025-02-03,0001193125-25-018885,"2.01,2.03,3.03,5.02,5.03,7.01,8.01,9.01",6021.0,8-K,"UMBF,UMBFO","Nasdaq,Nasdaq",6021.0,National Commercial Banks,UMB FINANCIAL CORP,UNITED MISSOURI BANCSHARES INC,2024-04-29,425,20,2024-08-06,2024-08-06,True,False,False,UMB Financial Corporation,UMBF,UMBF,,,,,,False,False,
704562,"Avid Bioservices, Inc.",CDMO,2025-02-05,2025-02-05,0001140361-25-003194,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",2834.0,8-K/A,,,2834.0,Pharmaceutical Preparations,"Avid Bioservices, Inc.",PEREGRINE PHARMACEUTICALS INC; TECHNICLONE CORP/DE/; TECHNICLONE INTERNATIONAL CORP,2024-12-03,PREM14A,19,2025-01-30,2025-01-30,False,False,False,,CDMO,CDMO,,,,,,False,False,
1889123,"Fold Holdings, Inc.","FLDD, FLDDU, FLDDW",2025-02-14,2025-02-14,0001213900-25-014354,"1.01,2.01,3.03,4.01,5.01,5.02,5.03,5.05,5.06,8.01,9.01",6199.0,8-K,"FLD,FLDDW","Nasdaq,Nasdaq",6199.0,Finance Services,"Fold Holdings, Inc.",FTAC Emerald Acquisition Corp.; Emerald ESG Acquisition Corp,2024-07-24,425,4,2025-02-13,2025-02-13,True,False,True,,FLDD,FLDD,3304183.0,,,11.07,super8k,True,True,
1847607,RF Acquisition Corp.,"RFAC, RFACR, RFACU, RFACW",2025-02-13,2025-02-14,0001104659-25-014276,"1.02,2.01,3.01,3.03,5.01,5.02,9.01",6770.0,8-K,,,6770.0,Blank Checks,RF Acquisition Corp.,,2023-10-18,425,5,2025-01-23,2025-01-21,True,True,False,"PubCo, and",RFAC,RFAC,1522973.0,,,,llm,True,True,
1840425,"OSR Holdings, Inc.","BLAC, BLACR, BLACU, BLACW",2025-02-14,2025-02-21,0001213900-25-016100,"1.01,2.01,3.03,5.01,5.02,5.03,5.06,9.01",3841.0,8-K,"OSRH,OSRHW","Nasdaq,Nasdaq",3841.0,Surgical & Medical Instruments & Apparatus,"OSR Health, Inc.","OSR Holdings, Inc.; Bellevue Life Sciences Acquisition Corp.",2023-07-11,425,4,2025-02-13,2025-02-13,True,False,True,OSR Holdings Co,BLAC,OSRH,57821.0,,,,vote8k,False,True,
1847345,"Aspire Biopharma Holdings, Inc.","PWUP, PWUPU, PWUPW",2025-02-17,2025-02-21,0001493152-25-007898,"1.01,2.01,2.03,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",2834.0,8-K,"ASBP,ASBPW","Nasdaq,Nasdaq",2834.0,Pharmaceutical Preparations,"Aspire Biopharma Holdings, Inc.",PowerUp Acquisition Corp.,2023-12-28,425,4,2025-02-10,2025-02-04,True,False,True,,PWUP,ASBP,507631.0,,,,vote8k,True,True,
1458412,"CROSSFIRST BANKSHARES, INC.",CFB,2025-03-01,2025-03-03,0001104659-25-019506,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",6022.0,8-K,,,6022.0,State Commercial Banks,"CROSSFIRST BANKSHARES, INC.",CROSSFIRST HOLDINGS LLC,2024-08-27,425,5,2024-12-23,2024-12-20,True,False,False,"CrossFirst Bankshares, Inc",CFB,CFB,,,,,,False,False,
314489,FIRST BUSEY CORP /NV/,BUSE,2025-03-01,2025-03-03,0001104659-25-019504,"2.01,3.03,5.02,5.03,8.01,9.01",6022.0,8-K,"BUSE,BUSEP","Nasdaq,Nasdaq",6022.0,State Commercial Banks,FIRST BUSEY CORP /NV/,,2023-11-27,425,19,2024-12-23,2024-12-20,True,False,False,"CrossFirst Bankshares, Inc",BUSE,,,,,,,False,False,
203596,WESBANCO INC,"WSBC, WSBCP",2025-02-28,2025-03-03,0001193125-25-043531,"2.01,5.02,8.01,9.01",6021.0,8-K,"WSBC,WSBCO","Nasdaq,Nasdaq",6021.0,National Commercial Banks,WESBANCO INC,,2024-07-26,425,19,2024-12-11,2024-12-11,True,False,False,Premier Financial Corp,WSBC,WSBC,,,,,,False,False,
1880343,"Fresh Vine Wine, Inc.",VINE,2025-03-07,2025-03-10,0001554795-25-000054,"1.01,1.02,2.01,3.02,5.02,5.03,7.01,9.01",5812.0,8-K,AMZE,NYSE,5961.0,Retail-Catalog & Mail-Order Houses,"AMAZE HOLDINGS, INC.","Fresh Vine Wine, Inc.; FRESH GRAPES, LLC",2024-01-29,425,2,2023-12-13,2023-12-13,True,False,True,,VINE,VINE,0.0,,,,llm,False,True,
1163739,NABORS INDUSTRIES LTD,"NBR, NBRWF",2025-03-11,2025-03-12,0001104659-25-022754,"1.01,1.02,2.01,2.03,7.01,9.01",1381.0,8-K,"NBR,NBRWF","NYSE,OTC",1381.0,Drilling Oil & Gas Wells,NABORS INDUSTRIES LTD,,2023-02-14,425,18,2025-01-17,2025-01-17,True,False,False,Parker Drilling Company,NBR,NBR,,,,,,False,False,
1754068,"Kalaris Therapeutics, Inc.",ALVR,2025-03-18,2025-03-18,0001193125-25-056725,"2.01,2.02,5.01,5.02,5.03,5.06,7.01,9.01",2836.0,8-K,KLRS,Nasdaq,2836.0,"Biological Products, (No Diagnostic Substances)","Kalaris Therapeutics, Inc.","Allovir, Inc.; ViraCyte, Inc.",2024-11-08,425,6,2025-03-12,2025-03-12,True,False,True,"Merger, dated as of November 7, 2024",ALVR,KLRS,,,,,,False,False,
1970622,"USA Rare Earth, Inc.","IPXX, USAR, IPXXU, IPXXW, USARW",2025-03-13,2025-03-19,0001213900-25-025163,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.05,5.06,7.01,9.01",1000.0,8-K,USAR,Nasdaq,1000.0,Metal Mining,"USA Rare Earth, Inc.",Inflection Point Acquisition Corp. II,2024-08-22,425,2,2025-03-10,2025-03-10,True,False,True,New USARE,IPXX,USAR,128140.0,,,11.0,super8k,True,True,
1713863,"Rafael Holdings, Inc.",RFL,2025-03-25,2025-03-26,0001013762-25-002413,"2.01,5.02,8.01,9.01",2834.0,8-K,RFL,NYSE,2834.0,Pharmaceutical Preparations,"Rafael Holdings, Inc.",,2024-08-22,425,8,2025-03-25,2025-03-20,True,False,False,"Cyclo Therapeutics, Inc",RFL,RFL,,,,,,False,False,
1851277,Carlyle Secured Lending III,,2025-03-26,2025-03-28,0001193125-25-065939,"2.01,3.03,5.01,5.02,7.01,9.01",,8-K,,,,,Carlyle Secured Lending III,,2024-08-05,425,0,,,True,False,False,,,,,,,,,False,False,
1544206,"Carlyle Secured Lending, Inc.","CGBD, CGBDL",2025-03-26,2025-03-28,0001193125-25-065938,"1.01,2.01,3.02,5.07,7.01,9.01",,8-K,CGBD,Nasdaq,,,"Carlyle Secured Lending, Inc.","TCG BDC, INC.; Carlyle GMS Finance, Inc.",2024-08-05,425,17,2025-03-28,2025-03-26,True,False,False,,CGBD,CGBD,,,,,,False,False,
824410,SANDY SPRING BANCORP INC,SASR,2025-04-01,2025-04-01,0001104659-25-030581,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",6021.0,8-K,,,6021.0,National Commercial Banks,SANDY SPRING BANCORP INC,,2024-10-21,425,20,2025-02-05,2025-02-05,True,False,False,Atlantic Union Bankshares Corporation,SASR,SASR,,,,,,False,False,
1290476,Village Bank & Trust Financial Corp.,VBFC,2025-04-01,2025-04-01,0001558370-25-004237,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",6022.0,8-K,,,6022.0,State Commercial Banks,Village Bank & Trust Financial Corp.,Southern Community Financial Corp.,2008-07-15,S-4,17,2024-12-19,2024-12-19,False,False,False,TowneBank,VBFC,VBFC,,,,,,False,False,
