cik,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
707886,,,6036,"Savings Institutions, Not Federally Chartered",UNITED COMMUNITY FINANCIAL CORP,,2019-09-09,425,12,2019-12-10,2019-12-10,True,False,False,UCFC with and into FDEF,UCFC,UCFC,,,,,,False,False,
946647,,,6022,State Commercial Banks,PREMIER FINANCIAL CORP,FIRST DEFIANCE FINANCIAL CORP,2019-09-09,425,13,2019-12-10,2019-12-10,True,False,True,United Community Financial Corp,FDEF,FDEF,,,,,,False,False,
1642380,IMDX,Nasdaq,2835,In Vitro & In Vivo Diagnostic Substances,Insight Molecular Diagnostics Inc.,OncoCyte Corp; Oncocyte Corp,,,4,2019-07-23,2019-07-17,False,False,False,,OCX,OCX,,,,,,False,False,
1674101,VRT,NYSE,3679,"Electronic Components, NEC",Vertiv Holdings Co,GS Acquisition Holdings Corp,2019-12-10,PREM14A,1,2020-02-06,2020-02-06,False,False,True,"Merger, dated as of December 10, 2019",GSAH,VRT,,,,,,False,True,
1643988,,,7363,Services-Help Supply Services,"Loop Media, Inc.","Interlink Plus, Inc.",,,0,,,False,False,True,"Mesa Energy, Inc",,,,,,,,False,False,
1720592,RPAY,Nasdaq,7389,"Services-Business Services, NEC",Repay Holdings Corp,Thunder Bridge Acquisition Ltd,2019-01-22,425,1,2019-07-10,2019-07-10,True,False,True,,RPAY,RPAY,,,,11.5,,False,False,
1610114,,,6798,Real Estate Investment Trusts,New Senior Investment Group Inc.,,,,5,2019-06-13,2019-06-12,False,False,False,,SNR,SNR,,,,,,False,False,
1358633,SNBH,OTC,5734,Retail-Computer & Computer Software Stores,SENTIENT BRANDS HOLDINGS INC.,"Intelligent Buying, Inc.",,,0,,,False,False,True,,,,,,,,,False,False,
1751143,,,8742,Services-Management Consulting Services,"ATLAS TECHNICAL CONSULTANTS, INC.",Boxwood Merger Corp.,2019-08-20,PREM14A,5,2020-02-10,2020-02-10,False,True,True,,BWMC,ATCX,,,3.0,10.26,super8k,False,True,3.0
1720821,,,8700,"Services-Engineering, Accounting, Research, Management",PAE Inc,"Gores Holdings III, Inc.",2019-11-22,PREM14A,1,2020-02-13,2020-02-07,False,False,True,Shay continuing as the surviving corporation,GRSH,PAE,,,,,,True,True,
1451512,,,5900,Retail-Miscellaneous Retail,"Unrivaled Brands, Inc.","Terra Tech Corp.; PRIVATE SECRETARY, INC.",,,4,2019-09-24,2019-09-23,False,False,False,OneQor as the surviving company in the proposed merger,,,,,,,,False,False,
789570,MGM,NYSE,7011,Hotels & Motels,MGM Resorts International,MGM MIRAGE; MGM GRAND INC,1999-01-21,S-4,10,2019-05-03,2019-05-01,False,False,False,,MGM,MGM,,,,,,False,False,
1029730,,,6211,"Security Brokers, Dealers & Flotation Companies",LADENBURG THALMANN FINANCIAL SERVICES INC.,LADENBURG THALMANN FINANCIAL SERVICES INC; THALMANN FINANCIAL SERVICES INC; GBI CAPITAL MANAGEMENT CORP; FROST HANNA CAPITAL GROUP INC,1999-07-02,PREM14A,12,2020-01-31,2020-01-31,False,False,False,,LTS,LTS,,,10.75,25.0,super8k,False,False,10.75
1656936,,,6798,Real Estate Investment Trusts,MGM Growth Properties LLC,,2018-01-16,425,3,2019-05-03,2019-05-01,True,False,False,,MGP,MGP,,,3.0,,near8k,False,True,3.0
1738758,CHR,Nasdaq,7374,Services-Computer Processing & Data Preparation,"Cheer Holding, Inc.",GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd; TKK SYMPHONY ACQUISITION Corp,,,1,2019-12-26,2019-12-23,False,True,True,,TKKS,GSMG,,,,,,False,True,
1108645,,,8711,Services-Engineering Services,Correlate Energy Corp.,"Correlate Infrastructure Partners, Inc.; TRICCAR INC.; FRONTIER OILFIELD SERVICES INC; TBX RESOURCES INC",,,0,,,False,False,False,,,,,,56.0,,super8k,False,False,56.0
1743725,GDYN,Nasdaq,7372,Services-Prepackaged Software,"GRID DYNAMICS HOLDINGS, INC.",ChaSerg Technology Acquisition Corp,2019-11-27,PREM14A,2,2020-03-05,2020-03-04,False,False,True,"Merger, dated as of November 13, 2019",CTAC,GDYN,51715.0,,,10.21,super8k,False,True,
730708,SBCF,Nasdaq,6022,State Commercial Banks,SEACOAST BANKING CORP OF FLORIDA,,2018-06-12,425,12,2019-05-29,2019-05-24,True,False,False,First Bank of the Palm Beaches,SBCF,SBCF,,,,,,False,False,
1561660,,,4911,Electric Services,Pattern Energy Group Inc.,,2019-12-13,PREM14A,7,2020-03-12,2020-03-10,False,False,False,Company Common Stock,,,,,,,,False,False,
18498,GCO,NYSE,5661,Retail-Shoe Stores,GENESCO INC,,2007-07-11,PREM14A,12,2019-07-02,2019-07-02,False,False,False,,GCO,GCO,,,,,,False,False,
1630856,,,6021,National Commercial Banks,Professional Holding Corp.,,2019-08-13,425,1,2020-03-17,2020-03-17,True,False,False,"Marquis Bancorp, Inc",PFHD,PFHD,,,,,,False,False,
1362988,AYR,,7359,"Services-Equipment Rental & Leasing, NEC",Aircastle LTD,,2010-09-14,S-4,12,2020-03-06,2020-03-06,False,False,False,MM Air Merger Sub Limited,AYR,AYR,,,,,,False,False,
1422841,,,4941,Water Supply,AquaVenture Holdings Ltd,AQUAVENTURE HOLDINGS LLC,2020-01-27,PREM14A,4,2020-03-17,2020-03-16,False,False,False,Amberjack Merger Sub Limited,WAAS,WAAS,,,,,,False,False,
1595974,MGNI,Nasdaq,7370,"Services-Computer Programming, Data Processing, Etc.","MAGNITE, INC.","RUBICON PROJECT, INC.",2019-12-19,425,6,2020-04-01,2020-03-30,True,False,True,,RUBI,RUBI,,,,,,False,False,
1740695,,,2860,Industrial Organic Chemicals,"Lux Amber, Corp.",,,,0,,,False,False,False,State,LUX,,,,,,,False,False,
1283699,"TMUS,TMUSI,TMUSL,TMUSZ","Nasdaq,Nasdaq,Nasdaq,Nasdaq",4812,Radiotelephone Communications,"T-Mobile US, Inc.",METROPCS COMMUNICATIONS INC,2018-04-30,425,13,2019-06-14,2019-06-14,True,False,False,"T-Mobile US, Inc",TMUS,,,,10.0,,super8k,False,True,10.0
1375796,,,7311,Services-Advertising Agencies,"Telaria, Inc.",TREMOR VIDEO INC.; TREMOR MEDIA INC,2019-12-19,425,8,2020-04-01,2020-03-30,True,False,False,,,TLRA,,,,,,False,False,
101830,,,4813,Telephone Communications (No Radiotelephone),SPRINT LLC,SPRINT CORP; SPRINT Corp; SPRINT NEXTEL CORP,2018-04-30,425,12,2018-10-31,2018-10-30,True,False,True,"T-Mobile US, Inc",,,,,4.0,,super8k,False,True,4.0
1293818,CFOR,OTC,8071,Services-Medical Laboratories,CapForce Inc.,OPGEN INC,2020-02-20,425,6,2020-03-30,2020-03-30,True,False,False,Curetis N,OPGN,OPGN,,,,,,False,False,
947559,,,6021,National Commercial Banks,FIRST BANCSHARES INC /MS/,,2017-10-24,425,11,2019-05-21,2019-05-16,True,False,False,Southwest Georgia Financial Corporation,FBMS,FBMS,,,,,,False,False,
315849,,,6022,State Commercial Banks,SOUTHWEST GEORGIA FINANCIAL CORP,,2019-12-18,425,11,2020-03-27,2020-03-27,True,False,False,"The First Bancshares, Inc",SGB,SGB,,,,,,False,False,
1118004,,,6022,State Commercial Banks,BANCPLUS CORP,,2020-01-22,S-4,1,2020-03-19,2020-03-17,False,False,False,State Capital Corp,,,,,,,,False,False,
1484769,FUBO,NYSE,7812,Services-Motion Picture & Video Tape Production,FuboTV Inc.,"fuboTV Inc. /FL; FaceBank Group, Inc.; Pulse Evolution Group, Inc.; Recall Studios, Inc.; CAROLCO PICTURES, INC.; Brick Top Productions, Inc.; York Entertainment, Inc.",,,0,,,False,False,True,,,,,,,,,False,False,
101829,RTX,NYSE,3724,Aircraft Engines & Engine Parts,RTX Corp,RAYTHEON TECHNOLOGIES CORP; UNITED TECHNOLOGIES CORP /DE/,2017-10-26,425,12,2019-10-11,2019-10-11,True,False,True,,UTX,RTX,,,,,,False,False,
