ticker,date,backend_daily,backend_intraday,open,close,high,low,ref30_high,ref30_high_date,pct_off_ref30H,days_since_ref30_high,pct_change_63,pct_change_126,pct_off_63H_pre,pct_off_252H_pre,pct_off_ATH_pre,price_slope_20,price_slope_60,price_accel,atr_pct_30,price_accel_norm_atr,day_volume,vol_adv_20,vol_adv_60,vol_accel_20_60,premarket_vol,vol_first_5m,vol_first_10m,vol_first_15m,vol_first_30m,premarket_vs_adv20,v5_vs_adv20,v10_vs_adv20,v15_vs_adv20,v30_vs_adv20,day_vol_vs_adv20,gap_pct,open_high_pct,open_close_pct,alert
NVAX,2020-08-12,shel,shel,148.06,124.42,148.5,112.51,189.4,2020-08-05,-0.21826821541710667,7,8.484945547725816,18.328981723237597,-0.21826821541710667,,,0.02927117069158879,0.029706370332206647,-0.00043519964061785807,0.11377763295180185,-0.003825001710153489,17941413.0,,,,1184.0,271.0,271.0,509.0,518.0,,,,,,,,0.0029717682020802224,-0.15966500067540187,True
PLTR,2025-08-20,shel,shel,152.3,156.01,156.46,142.34,190.0,2025-08-12,-0.1984210526315789,8,0.7191556609098093,0.9094784353059178,-0.1984210526315789,,,0.008102306958426944,0.005536385721200015,0.0025659212372269287,0.03939539993620868,0.06513250890666976,218173260.0,,,,611658.0,18682.0,30472.0,43729.0,122856.0,,,,,,,,0.027314510833880475,0.02435981615233079,True
PLTR,2025-02-20,shel,shel,102.91,106.27,107.4,95.8,125.41,2025-02-19,-0.1794115301810063,1,1.364659926470588,2.8270732614354777,-0.1794115301810063,,,0.01301362540838221,0.009940278500156838,0.003073346908225371,0.06592042500150704,0.04662207363127756,243095378.0,,,,1035289.0,92230.0,153266.0,230586.0,574306.0,,,,,,,,0.043630356622291415,0.03264988825187056,True
LAES,2025-01-08,shel,shel,4.98,5.275,5.47,3.25,11.0,2024-12-27,-0.5472727272727272,12,7.165272995573046,4.203218054539756,-0.5472727272727272,,,0.09674167119914842,0.03049380506428741,0.06624786613486101,0.33676003607922594,0.19672128232958017,113237349.0,,,,1174980.0,205888.0,487434.0,630371.0,1584319.0,,,,,,,,0.0983935742971886,0.05923694779116464,True
MRNA,2020-05-27,shel,shel,51.2,52.18,53.34,46.1301,87.0,2020-05-18,-0.41149425287356317,9,1.4369347929557352,2.047619047619048,-0.41149425287356317,,,0.02325683895754368,0.017163611153464927,0.006093227804078755,0.11504301679663717,0.052964777643564595,59514975.0,,,,7761.0,111.0,211.0,1845.0,2636.0,,,,,,,,0.04179687500000001,0.01914062499999994,True
ETHE,2024-12-20,shel,shel,27.91,28.86,29.3691,27.73,34.53,2024-12-16,-0.19171734723428904,4,0.23714539007092206,-0.049063032367972784,-0.19171734723428904,,,0.012800346910414031,0.0066388551800105845,0.006161491730403447,0.056447125954558135,0.10915510092336071,4944290.0,,,,1322.0,10070.0,10278.0,12978.0,15023.0,,,,,,,,0.05227875313507701,0.03403797921891793,True
