ticker,date,top_bucket,t_top,has_series,open_iv,prior_close_iv,iv_gap_open,n_controls,ctrl_gap_mean,ctrl_gap_std,iv_gap_z,open_iv_pctile,iv_runup_chg,iv_ramp_slope,iv_ramp_final2d,iv_ramp_final2d_pctile,iv_lead,iv_lead_pre,t_vel_zero_cross,accel_sign_pre,iv_base,iv_at_top,iv_runup_slope,iv_divergence,win_bars,rvol_score,atr_pct,atr_pct_move,gap_pct,consecutive_up_days,uvxy_close,pct_change_3,pct_change_15,pct_from_20mav,day_of_range_pct,percent_of_premarket_vol,vol_ratio_5min_to_pm,spy_5day_return,gap_from_pm_high,reversal_duration,reversal_open_low_pct,reversal_open_close_pct,setup,trade_grade,cap
MRNA,2021-08-10,premarket,2021-08-10 08:01:00-04:00,True,0.95746,0.945,0.013185185185185189,8.0,0.03661692833275566,0.0889157324452692,-0.2635275277296236,87.5,0.19491686160460242,0.011714626787149364,0.2871152274584581,100.0,,,,,,,,,,1.398952311,0.048,0.2119,0.002126035,1,6350.0,0.166338346,0.579735138,0.412638614,1.295294129,0.076275816,1.306092001,0.002221467,-0.026371202,0 days 06:19:00,-0.064881565,-0.059196704,2DBreakoutIB,B,Large
LCID,2021-11-17,premarket,2021-11-17 07:36:00-05:00,True,1.3026976874999998,1.1753,0.10839588828384228,8.0,0.016462876782673583,0.17305473876562186,0.5312366026895048,37.5,-0.03374850988613476,-0.016515449115250123,-0.08322932917316694,20.0,,,,,,,,,,2.055989084,0.0559,0.2035,0.012247839,2,3755.0,0.27930799,1.079940785,0.516295251,1.473486161,0.305051996,0.49406568,0.012208274,-0.092084006,0 days 04:00:00,-0.10480427,-0.064946619,2DBreakoutIB,C,Medium
BBBY,2022-03-07,premarket,2022-03-07 08:52:00-05:00,True,2.9945517500000003,0.9757,2.069131649072461,8.0,0.06459364862245584,0.04611127548075589,43.47175348221675,100.0,0.042525910887915463,0.004799385965305148,-0.025809994508511735,20.0,,,,,,,,,,10.0,0.075754756,-3.647735789,0.854140915,0,4660.0,0.741151459,0.912048852,0.856015224,6.23698088,3.002978701,0.322828382,-0.004660194,-0.146274123,0 days 05:20:00,-0.359666667,-0.276333333,1DMeanRevert,A,Medium
AMC,2022-03-29,open30,2022-03-29 09:35:00-04:00,True,3.0509144999999998,2.0666,0.4762965740830347,8.0,0.06308952698963943,0.1355132261603769,3.049200869916372,100.0,0.9711942006867609,0.09433735971900964,0.5052807924830651,80.0,,,,,,,,,28.0,3.386676982,0.09246579,0.2022,0.023866348,2,3312.5,0.484429066,0.951267057,0.920828088,2.90941914,0.155987492,2.11190277,0.014057252,-0.015409836,0 days 00:44:00,-0.120546121,-0.01964702,2DBreakoutIB,A,Medium
GME,2022-03-29,open30,2022-03-29 09:35:00-04:00,True,2.20172435,1.6705,0.3180032026339419,8.0,0.002100278421859717,0.13043061285835825,2.421999845658461,100.0,0.011719104866305452,0.019831740586457612,0.1722395705413846,60.0,,,,,,,,,28.0,2.811402324,0.102220758,0.1723,-0.007120629,10,3312.5,0.32200295,0.827395399,0.733148497,1.979932663,0.112780432,2.136356245,0.014057252,-0.005231729,0 days 00:30:00,-0.134084148,-0.044305142,3DGapFade,A,Medium
COIN,2022-08-04,open30,2022-08-04 09:33:00-04:00,True,2.355056136363636,1.7393,0.3540252609461485,8.0,0.07143363341462952,0.15584515301813914,1.8132846742986455,100.0,0.47855655204658487,0.0520596240210646,0.1266355745562897,60.0,,,,,,,,,26.0,3.219867929,0.0757,0.1239,0.312956317,2,2552.5,0.692185008,0.98614751,0.82149933,3.38594729,0.458454181,0.980233261,0.020636836,-0.052678571,0 days 01:16:00,-0.18204524,-0.162111216,3DGapFade,A,Medium
BILI,2022-12-05,premarket,2022-12-05 08:01:00-05:00,True,1.56635175,1.25875,0.24437080436941394,8.0,-0.0008541030783943812,0.06979667160482407,3.5134183594917916,100.0,-0.1769648228063293,-0.03892522058529976,0.08484874601396175,100.0,,,,,,,,,,2.114550675,0.0735,0.1164,0.126008065,0,1830.0,0.286866359,0.763220205,0.602144548,1.882843647,0.197555849,1.104451159,0.012551885,-0.043254818,0 days 05:30:00,-0.133393017,-0.118621307,2DBreakoutIB,A,Medium
EH,2023-01-17,premarket,2023-01-17 08:01:00-05:00,True,1.4295366,1.5308000000000002,-0.06615064018813699,8.0,0.03215777534690402,0.06271178926916077,-1.5676225583852905,12.5,0.007171524442397548,-0.005594897826873126,0.06364647026125625,100.0,,,,,,,,,,1.652372353,0.108,0.166,0.013617525,2,1347.5,0.35443038,1.404494382,0.75501632,2.282130299,0.051522502,2.160800214,0.027432579,-0.019388836,0 days 04:44:00,-0.232476636,-0.205607477,2DBreakoutIB,B,Small
AAL,2023-01-18,open30,2023-01-18 09:35:00-05:00,True,0.573185,0.5578000000000001,0.027581570455360138,8.0,0.04057906244600502,0.1591520092580516,-0.08166715614359941,87.5,0.0737247353224253,-0.0016524285084025282,0.10030575007397191,80.0,,,,,,,,,33.0,1.307677711,0.0338,0.1116,0.026346604,9,1362.5,0.041592395,0.379228954,0.256455002,1.598051317,0.06161119,1.282952373,0.018408521,-0.00567215,0 days 05:04:00,-0.053337136,-0.050770108,1DBreakoutIB,B,Medium
UAL,2023-01-18,premarket,2023-01-18 08:24:00-05:00,True,0.4322095,0.5429,-0.20388745625345372,8.0,0.03686127337320223,0.10539113119601823,-2.284335758564774,0.0,0.12786953360340725,0.027487072080841158,-0.06275356063875703,0.0,,,,,,,,,,2.88134526,0.0331,0.1354,0.037109375,0,1362.5,0.035087719,0.383172701,0.26277355,2.275923093,0.143612194,1.343210581,0.018408521,-0.007476636,0 days 05:35:00,-0.086252354,-0.079849341,1DBreakoutIB,B,Medium
CVNA,2023-01-31,premarket,2023-01-31 08:06:00-05:00,True,2.551542,2.35295,0.08440128349518705,8.0,0.13350551596458593,0.2084008382628279,-0.2356239681122123,87.5,0.5047804815655677,0.04959210617193431,0.36620699666134415,100.0,,,,,,,,,,2.086592537,0.0898,0.1735,0.108,3,1262.5,0.704615385,1.495495495,0.721456617,1.371687564,0.26224562,0.678170307,0.000974513,-0.031468531,0 days 02:08:00,-0.175541516,-0.082129964,2DBreakoutIB,B,Medium
SMH,2023-05-30,open30,2023-05-30 09:52:00-04:00,True,0.36037224999999995,0.3275,0.1003732824427479,8.0,0.046615322315409324,0.05746457955849006,0.9354973192246414,100.0,0.3024458142771922,0.03745356906949411,0.13518197573656865,80.0,4.0,0.0,,-0.003360263522803268,0.36327028333333333,0.390192,0.24888681399427512,False,50.0,1.886474361,0.025370626,0.0946,0.022326276,2,797.5,0.164759548,0.204525466,0.1719945,1.15795318,0.060597469,2.123985467,0.002937033,-0.003835218,0 days 04:02:00,-0.020909393,-0.017125788,3DGapFade,A,ETF
AVGO,2023-05-30,open30,2023-05-30 09:48:00-04:00,True,0.8072571545454545,0.76555,0.054479987649996175,8.0,0.1571036278060711,0.21316062464009186,-0.48143807201423056,100.0,2.140073831009024,0.16394171335989688,0.9069622618009714,100.0,5.0,0.0,,0.020207284152474636,0.8059041235294118,0.9744735294117648,0.28340912442883287,False,46.0,3.752348934,0.035738293,0.1824,0.027549125,2,797.5,0.22896708,0.327568118,0.38753226,4.283176594,0.134926398,1.694037868,0.002937033,-0.003436754,0 days 06:01:00,-0.043478781,-0.038054411,3DGapFade,A,Large
PLTR,2023-06-07,post10,2023-06-07 10:08:00-04:00,True,0.7822230000000001,0.6616500000000001,0.1822307866696895,8.0,0.0761107775358706,0.1135306839161622,0.9347253577031582,37.5,-0.09604481180408486,-0.029726491536334516,-0.05262027491408927,60.0,5.0,-11.0,,0.0,0.7903622666666668,0.8177856666666666,0.013298471820891505,True,66.0,1.9322935,0.0508,0.2396,0.035575679,2,577.5,0.10261708,0.690601901,0.377870564,2.200654957,0.066111796,1.252053332,0.02436281,-0.004353234,0 days 05:26:00,-0.093066833,-0.08244847,1DBreakoutIB,A,Medium
