ticker,date,low_bucket,t_low,has_series,open_iv,prior_close_iv,iv_gap_open,n_controls,ctrl_gap_mean,ctrl_gap_std,iv_gap_z,open_iv_pctile,iv_runup_chg,iv_ramp_slope,iv_ramp_final2d,iv_ramp_final2d_pctile,iv_lead,iv_lead_pre,t_vel_zero_cross,accel_sign_pre,iv_base,iv_at_top,iv_runup_slope,iv_divergence,win_bars,prior_close_iv_pctile,selloff_total_pct,consecutive_down_days,gap_pct,rvol_score,atr_pct_move,pct_off_30d_high,closed_outside_lower_band,uvxy_close,bounce_open_low_pct,bounce_open_close_pct,bounce_duration,trade_grade,cap,Setup
WLL,2020-02-12,post10,2020-02-12 11:52:00-05:00,True,1.47886,1.2355,0.19697288547146896,8.0,0.058137691741454285,0.07201686696310206,1.9278149631411639,100.0,0.1208382473010976,0.018141122551578626,0.1477008824895496,100.0,1.0,0.0,-44.0,1.429346273815952,1.9623143548387094,107384.403775,1.7382055303873063,False,75.0,100.0,0.0,0.0,0.051212938,4.198271732,-3.375483229,-0.5517241379310344,False,28625.0,-0.535897436,-0.261538462,,A,Small,3DGapFade_weakstock
NIO,2019-10-02,open30,2019-10-02 09:30:00-04:00,True,2.9609,2.3398000000000003,0.26545003846482595,8.0,0.07282059332877187,0.11712616206360292,1.6446320936517211,100.0,0.9953948490533857,0.10321641461903323,0.3827379369441244,60.0,,,,,,,,,25.0,100.0,-0.5741935483870968,8.0,-0.098484848,2.756988619,4.835197773,-0.6426426426426427,True,69050.0,0.0,0.336134454,0 days 05:05:00,A,Small,3DGapFade_weakstock
QQQ,2025-04-07,open30,2025-04-07 09:44:00-04:00,True,0.7263791818181818,0.5208999999999999,0.3944695369901745,8.0,0.16145523219023464,0.15855773094999592,1.4695865247556121,100.0,1.3259656173252967,0.099269684378653,0.7331558808850438,100.0,1.0,-1.0,,-0.03186708094372464,0.722162451948052,0.7474190909090909,0.41998988513831736,False,42.0,100.0,-0.1123175469914942,2.0,-0.093196645,2.925788178,1.728386949,-0.2275865718838184,True,154.4,-0.015342828,0.03677874,0 days 00:07:00,A,ETF,3DGapFade_weakstock
NVDA,2025-04-07,open30,2025-04-07 09:44:00-04:00,True,1.03007775,0.7784,0.32332701695786237,8.0,0.1016107315428511,0.14194685642047225,1.5619668586266366,100.0,0.6034607065609228,0.05199641196113457,0.4956287827841288,100.0,2.0,0.0,,0.04401506013322767,1.0264407857142854,1.08682275,0.5256357133787203,False,42.0,100.0,-0.1458974823401557,2.0,-0.14086444,1.900349565,2.797436547,-0.3689299372249081,True,154.4,-0.009604391,0.116396067,0 days 00:17:00,A,ETF,3DGapFade_weakstock
AAPL,2025-04-07,open30,2025-04-07 09:43:00-04:00,True,0.8441763250000001,0.6021000000000001,0.40205335492443117,8.0,0.14126001386819773,0.15184584851723942,1.7174874624683922,100.0,1.2291743798593115,0.10938893120530942,0.9567760805979855,100.0,0.0,0.0,,0.3698800538355789,0.8331781208333333,0.8686136499999999,0.684324032620942,False,41.0,100.0,-0.1586046719371119,2.0,-0.127909838,2.260175068,0.890795731,-0.2912,True,154.4,-0.014559819,0.024040632,0 days 00:06:00,A,ETF,3DGapFade_weakstock
ACB.T,2018-02-05,unknown,NaT,False,,,,,,,,,,,,,,,,,,,,,,,-0.2735042735042735,2.0,-0.178082192,,0.920894128,-0.4473684210526316,True,135000.0,-0.153571429,0.101190476,,A,Small,3DGapFade_strongstock
WEED.T,2018-02-05,open30,2018-02-05 09:33:00-05:00,False,,,,,,,,,,,,,,,,,,,,,,,-0.2227595099935525,2.0,-0.131693198,1.638044992,0.077929591,-0.4545454545454545,True,135000.0,-0.13125,0.00875,0 days 01:10:00,A,Small,3DGapFade_strongstock
ABCN.T,2018-02-05,open30,2018-02-05 09:32:00-05:00,False,,,,,,,,,,,,,,,,,,,,,,,-0.2142857142857143,2.0,-0.200757576,1.529051051525086,1.256085167,-0.4815724815724816,False,135000.0,-0.052132701,0.161137441,,A,Small,3DGapFade_strongstock
APH.T,2018-02-05,open30,2018-02-05 09:34:00-05:00,False,,,,,,,,,,,,,,,,,,,,,,,-0.3115079365079364,5.0,-0.105943152,2.011603221,0.149201031,-0.4408080808080808,True,135000.0,-0.103323699,0.01517341,0 days 01:04:00,A,Small,3DGapFade_strongstock
JNJ,2018-02-05,post10,2018-02-05 15:10:00-05:00,True,0.18568478125000001,0.1661,0.11790958007224583,8.0,0.1593187831903471,0.32733512795687186,-0.12650400027814043,87.5,0.07161290322580638,0.0213733412017492,-0.012778603268945088,20.0,4.0,0.0,-28.0,0.045688872334273475,0.24777434879032256,0.31510928571428576,0.12165849286915083,False,91.0,71.42857142857143,-0.0167118983002428,1.0,-0.024567919,1.931287163,-3.182647011,-0.0791531823085219,True,135000.0,-0.105652365,-0.045321423,,A,Large,IntradayCapitch_strongstock
AAPL,2018-02-06,open30,2018-02-06 09:30:00-05:00,True,0.4171515,0.3334,0.25120425914817046,8.0,-0.023559902359535534,0.13049234197240045,2.1055960629921064,62.5,-0.1815392168896527,-0.030474105984806373,-0.28531618435155426,20.0,,,,,,,,,28.0,14.285714285714285,-0.0672904994635832,2.0,-0.010607707,1.639630014,3.191621878,-0.1403109383675734,True,285875.0,-0.005360718,0.052961312,0 days 06:06:00,A,Large,3DGapFade_strongstock
HON,2018-02-05,post10,2018-02-05 15:09:00-05:00,True,0.20617755,0.17625,0.16980170212765966,8.0,0.015138129529485265,0.1449730137795956,1.0668438805673963,75.0,-0.2082210242587601,-0.04319328897658879,0.060469314079422354,80.0,30.0,-3.0,-2.0,-0.021471591277860913,0.2167687225806451,0.3047811,0.7311494463607255,False,91.0,71.42857142857143,-0.0189140101459258,2.0,-0.026307548,1.503543626,-2.756115333,-0.0586204808332829,False,135000.0,-0.054422644,-0.033965905,0 days 00:41:00,A,Large,IntradayCapitch_strongstock
CAT,2018-02-05,post10,2018-02-05 15:10:00-05:00,True,0.33525320000000003,0.2928,0.14499043715847004,8.0,0.07739363099271858,0.30030117921300253,0.2250967057235739,62.5,-0.3341671404206935,-0.040124524386025665,0.05304801294731165,60.0,8.0,0.0,-21.0,-0.030092810108957896,0.36079172903225804,0.437856,0.4526264839491986,False,91.0,57.14285714285714,-0.0382877381533951,3.0,-0.045056706,1.52692368,-1.12253728,-0.1056915262064188,True,135000.0,-0.077970696,-0.024849932,0 days 00:48:00,A,Large,IntradayCapitch_strongstock
TNA,2018-02-06,open30,2018-02-06 09:31:00-05:00,True,1.0460003095238095,0.76635,0.3649119978127613,8.0,0.13005905964682354,0.17471113715227693,1.3442356451566202,100.0,0.8632385120350108,0.07088448452113935,0.7867801352296573,100.0,,,,,,,,,29.0,100.0,-0.1641673243883188,2.0,-0.055240793,1.647808377,2.538105887,-0.2656880733944954,True,285875.0,-0.021322672,0.093953023,0 days 06:08:00,A,ETF,3DGapFade_strongstock
