expiration,symbol,strike,right,ask_size,bid_size,ask_exchange,ask_condition,bid_exchange,ask,bid,bid_condition,timestamp,mid,spread,spread_pct,is_primary,exp_date,dte,moneyness,moneyness_label,atm_dist,entry_mid,entry_ask,max_mid,max_bid,raw_return_pct,realistic_return_pct,spread_cost_pct,time_to_max_min,time_to_max_bid_min,volume_during_window,avg_spread_pct_window,delta,theta,vega,rho,implied_vol,target_0.5x_hit,target_0.5x_time_min,target_0.5x_option_bid,target_0.5x_option_return,target_1.0x_hit,target_1.0x_time_min,target_1.0x_option_bid,target_1.0x_option_return,target_1.5x_hit,target_1.5x_time_min,target_1.5x_option_bid,target_1.5x_option_return,return_score,spread_score,volume_score,oi_score,composite_score,rank,trade_date,entry_time,side,source,setup_type,trade_grade,cap,atr_pct,entry_offset,underlying_price,hold_window,target_0.5x_level,target_1.0x_level,target_1.5x_level,trade_idx
2026-01-26,SLV,108.0,put,67,386,11,50,4,2.74,2.63,50,2026-01-26T13:04:00.000,2.685,0.11000000000000032,0.040968342644320414,True,2026-01-26,0,0.014655191041722047,ATM,1.559899999999999,2.685,2.74,6.0,5.8,1.2346368715083798,1.116788321167883,0.11784855034049668,30.0,30.0,608,0.05585208539856165,-0.6094,-7.3695,0.7485,-0.0226,2.4086,True,7.0,3.7,0.3503649635036496,True,8.0,4.0,0.45985401459854003,True,8.0,4.0,0.45985401459854003,8.88888888888889,16.666666666666664,4.444444444444445,7.5,37.5,8,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,109.0,put,62,265,11,50,42,3.45,3.3,50,2026-01-26T13:04:00.000,3.375,0.15000000000000036,0.04444444444444455,True,2026-01-26,0,0.024050146514330586,ITM,2.559899999999999,3.375,3.45,7.0,6.75,1.0740740740740742,0.9565217391304347,0.11755233494363948,29.0,30.0,30,0.0668209380999688,-0.684,-6.9317,0.6936,-0.0255,2.4453,True,7.0,4.55,0.3188405797101448,True,8.0,4.85,0.40579710144927517,True,8.0,4.85,0.40579710144927517,4.444444444444445,5.555555555555555,2.2222222222222223,7.5,19.72222222222222,9,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,104.0,put,1,20,73,50,46,0.91,0.86,50,2026-01-26T13:04:00.000,0.885,0.050000000000000044,0.056497175141242986,True,2026-01-26,0,-0.022924630848712102,OTM,2.440100000000001,0.885,0.91,5.4,4.8,5.101694915254238,4.274725274725275,0.8269696405289633,59.0,59.0,23142,0.05607821723324379,-0.2859,-6.6944,0.6631,-0.0104,2.4687,True,7.0,1.32,0.45054945054945056,True,8.0,1.46,0.6043956043956042,True,8.0,1.46,0.6043956043956042,35.55555555555556,8.333333333333332,20.0,7.5,71.38888888888889,1,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,105.0,put,5,5,5,50,46,1.2,1.17,50,2026-01-26T13:04:00.000,1.185,0.030000000000000027,0.025316455696202552,True,2026-01-26,0,-0.013529675376103565,ATM,1.440100000000001,1.185,1.2,6.25,5.7,4.2742616033755265,3.75,0.5242616033755265,59.0,59.0,15768,0.051933118227679584,-0.3593,-7.2031,0.7291,-0.0132,2.416,True,7.0,1.77,0.4750000000000001,True,8.0,1.94,0.6166666666666667,True,8.0,1.94,0.6166666666666667,26.666666666666664,13.88888888888889,15.555555555555555,7.5,63.611111111111114,2,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,103.5,put,82,48,69,50,69,0.79,0.72,50,2026-01-26T13:04:00.000,0.755,0.07000000000000006,0.09271523178807956,True,2026-01-26,0,-0.02762210858501637,OTM,2.940100000000001,0.755,0.79,4.82,4.3,5.384105960264901,4.443037974683544,0.9410679855813573,59.0,59.0,6361,0.0639636269362667,-0.2524,-6.341,0.6229,-0.0092,2.4892,True,7.0,1.16,0.46835443037974667,True,8.0,1.25,0.5822784810126581,True,8.0,1.25,0.5822784810126581,40.0,2.7777777777777777,11.11111111111111,7.5,61.388888888888886,3,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,105.5,put,4,2,46,50,60,1.39,1.35,50,2026-01-26T13:04:00.000,1.37,0.039999999999999813,0.029197080291970663,True,2026-01-26,0,-0.008832197639799295,ATM,0.940100000000001,1.37,1.39,6.4,6.2,3.6715328467153285,3.4604316546762597,0.21110119203906885,59.0,59.0,20367,0.05305235145384922,-0.3998,-7.4059,0.7534,-0.0147,2.4042,True,7.0,2.03,0.46043165467625896,True,8.0,2.22,0.5971223021582737,True,8.0,2.22,0.5971223021582737,22.22222222222222,11.11111111111111,17.77777777777778,7.5,58.61111111111111,4,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,104.5,put,74,118,69,50,42,1.06,0.98,50,2026-01-26T13:04:00.000,1.02,0.08000000000000007,0.07843137254901968,True,2026-01-26,0,-0.018227153112407832,ATM,1.940100000000001,1.02,1.06,5.85,5.25,4.735294117647059,3.9528301886792447,0.7824639289678141,59.0,59.0,7324,0.062138663136972014,-0.3212,-6.9684,0.6986,-0.0118,2.4394,True,7.0,1.51,0.4245283018867924,True,8.0,1.7,0.6037735849056602,True,8.0,1.7,0.6037735849056602,31.11111111111111,5.555555555555555,13.333333333333332,7.5,57.5,5,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,106.0,put,41,1,11,50,60,1.62,1.59,50,2026-01-26T13:04:00.000,1.605,0.030000000000000027,0.018691588785046745,True,2026-01-26,0,-0.004134719903495027,ATM,0.44010000000000105,1.605,1.62,6.78,6.7,3.224299065420561,3.135802469135802,0.08849659628475903,60.0,59.0,4252,0.050559456505704925,-0.442,-7.6132,0.7698,-0.0163,2.4189,True,7.0,2.3,0.4197530864197529,True,8.0,2.52,0.5555555555555555,True,8.0,2.52,0.5555555555555555,17.77777777777778,16.666666666666664,8.88888888888889,7.5,50.83333333333333,6,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,107.0,put,5,20,69,50,1,2.09,2.04,50,2026-01-26T13:04:00.000,2.065,0.04999999999999982,0.024213075060532604,True,2026-01-26,0,0.00526023556911351,ATM,0.559899999999999,2.065,2.09,7.8,7.65,2.777239709443099,2.6602870813397135,0.11695262810338569,58.0,59.0,1915,0.04630025418132802,-0.5275,-7.4985,0.7762,-0.0195,2.3632,True,7.0,2.97,0.42105263157894757,True,8.0,3.2,0.5311004784688997,True,8.0,3.2,0.5311004784688997,13.333333333333332,22.22222222222222,6.666666666666666,7.5,49.72222222222222,7,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,108.0,put,67,386,11,50,4,2.74,2.63,50,2026-01-26T13:04:00.000,2.685,0.11000000000000032,0.040968342644320414,True,2026-01-26,0,0.014655191041722047,ATM,1.559899999999999,2.685,2.74,9.2,8.65,2.4264432029795153,2.156934306569343,0.2695088964101724,59.0,59.0,718,0.04404093135420301,-0.6094,-7.3695,0.7485,-0.0226,2.4086,True,7.0,3.7,0.3503649635036496,True,8.0,4.0,0.45985401459854003,True,8.0,4.0,0.45985401459854003,8.88888888888889,25.0,4.444444444444445,7.5,45.83333333333333,8,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,109.0,put,62,265,11,50,42,3.45,3.3,50,2026-01-26T13:04:00.000,3.375,0.15000000000000036,0.04444444444444455,True,2026-01-26,0,0.024050146514330586,ITM,2.559899999999999,3.375,3.45,9.5,9.65,1.8148148148148149,1.7971014492753623,0.017713365539452575,59.0,59.0,38,0.047367455373164065,-0.684,-6.9317,0.6936,-0.0255,2.4453,True,7.0,4.55,0.3188405797101448,True,8.0,4.85,0.40579710144927517,True,8.0,4.85,0.40579710144927517,4.444444444444445,19.444444444444446,2.2222222222222223,7.5,33.611111111111114,9,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,60,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,104.0,put,1,20,73,50,46,0.91,0.86,50,2026-01-26T13:04:00.000,0.885,0.050000000000000044,0.056497175141242986,True,2026-01-26,0,-0.022924630848712102,OTM,2.440100000000001,0.885,0.91,7.2,7.15,7.135593220338984,6.857142857142857,0.2784503631961268,106.0,111.0,24694,0.048096626005141245,-0.2859,-6.6944,0.6631,-0.0104,2.4687,True,7.0,1.32,0.45054945054945056,True,8.0,1.46,0.6043956043956042,True,8.0,1.46,0.6043956043956042,35.55555555555556,8.333333333333332,20.0,7.5,71.38888888888889,1,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,120,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,105.0,put,5,5,5,50,46,1.2,1.17,50,2026-01-26T13:04:00.000,1.185,0.030000000000000027,0.025316455696202552,True,2026-01-26,0,-0.013529675376103565,ATM,1.440100000000001,1.185,1.2,8.3,8.15,6.0042194092827,5.791666666666667,0.21255274261603319,107.0,111.0,16122,0.04187677494574134,-0.3593,-7.2031,0.7291,-0.0132,2.416,True,7.0,1.77,0.4750000000000001,True,8.0,1.94,0.6166666666666667,True,8.0,1.94,0.6166666666666667,26.666666666666664,13.88888888888889,15.555555555555555,7.5,63.611111111111114,2,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,120,104.453303995014,102.466507990028,100.479711985042,5
